,title,platform,datetime,critic_score,critic_score_text,url,comments,upvotes,img
671,Marvel's Spider-Man PS4 Review: Amazing Fantasy,PS4,"Tuesday, Sep 4, 2018 4:11pm",9,Superb,https://www.gamespot.com/reviews/marvels-spider-man-ps4-review-amazing-fantasy/1900-6416975/,505,351,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3433417-spider-man-review-thumb-nologo.jpg
672,Strange Brigade Review - Co-op With Style,XONE,"Tuesday, Sep 4, 2018 1:20pm",7,Good,https://www.gamespot.com/reviews/strange-brigade-review-co-op-with-style/1900-6416977/,18,17,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3433993-strange-brigade-2018-video-game-4k-uu-2880x1800.jpg
673,Planet Alpha Review: A Beautiful Planet,NS,"Monday, Sep 3, 2018 7:54pm",7,Good,https://www.gamespot.com/reviews/planet-alpha-review-a-beautiful-planet/1900-6416976/,1,22,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3433642-review_planetalpha.jpg
674,Donut County Review: Pit Falls,PC,"Friday, Aug 31, 2018 4:56pm",6,Fair,https://www.gamespot.com/reviews/donut-county-review-pit-falls/1900-6416966/,6,13,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3429914-cover.jpg
675,Little Dragons Cafe Review - Dragging On,NS,"Friday, Aug 31, 2018 9:29am",6,Fair,https://www.gamespot.com/reviews/little-dragons-cafe-review-dragging-on/1900-6416973/,2,20,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3432839-littledragonscafe-interviewfeature-promo.jpg
676,Into The Breach Review: A Mechanized Masterpiece,"PC, NS","Friday, Aug 31, 2018 5:35am",9,Superb,https://www.gamespot.com/reviews/into-the-breach-review-a-mechanized-masterpiece/1900-6416865/,86,74,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3356844-into-the-breach-review-thumb-nologo.jpg
677,Vigilante Review,TG16,"Thursday, Aug 30, 2018 11:20am",2.4,Terrible,https://www.gamespot.com/reviews/vigilante-review/1900-6165702/,0,1,https://www.gamespot.com/a/uploads/screen_petite/469/4693985/2305502-default-art--kubrick.jpg
678,The Messenger Review: Shuriken Sharp,"PC, NS","Wednesday, Aug 29, 2018 6:54pm",8,Great,https://www.gamespot.com/reviews/the-messenger-review-shuriken-sharp/1900-6416967/,15,17,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3430317-review_themessenger.jpg
679,The Golf Club 2019 Review,PC,"Wednesday, Aug 29, 2018 4:12pm",8,Great,https://www.gamespot.com/reviews/the-golf-club-2019-review/1900-6416971/,8,157,https://www.gamespot.com/a/uploads/screen_petite/1179/11799911/3431419-tgc2019_tpc-course_sawgrass_hole17.jpg
680,Hollow Knight Review - An Exceptional Adventure,NS,"Wednesday, Aug 29, 2018 3:02pm",9,Superb,https://www.gamespot.com/reviews/hollow-knight-review-an-exceptional-adventure/1900-6416972/,46,54,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3431885-hollow-knight-review-thumb-nologo.jpg
681,Monster Hunter Generations Ultimate Review - A Formidable Beast,NS,"Tuesday, Aug 28, 2018 5:18pm",7,Good,https://www.gamespot.com/reviews/monster-hunter-generations-ultimate-review-a-formi/1900-6416970/,50,15,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3431357-0739352603-8c715d371ff98b229fda0699ced7f4e1
682,F1 2018 Review - Victory Lap,PS4,"Monday, Aug 27, 2018 8:20am",9,Superb,https://www.gamespot.com/reviews/f1-2018-review-victory-lap/1900-6416961/,22,63,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3426990-0924489351-ae5b02cff07757035b3092b7939e5c3c
683,Death's Gambit Review - A Maddening Mission,PC,"Sunday, Aug 26, 2018 11:32am",6,Fair,https://www.gamespot.com/reviews/deaths-gambit-review-a-maddening-mission/1900-6416965/,9,9,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3429739-3787844423-2682adf59390608452acca0a58b76157
