title,reviewer,current_review_url,info_url
Brothers in Arms: Double Time Review,Austin Light,https://www.gamespot.com/reviews/brothers-in-arms-double-time-review/1900-6201510/,https://www.gamespot.com/games/brothers-in-arms-double-time/
Left 4 Dead Review,Chris Watters,https://www.gamespot.com/reviews/left-4-dead-review/1900-6201523/,https://www.gamespot.com/games/left-4-dead/
Disney Think Fast Review,Austin Light,https://www.gamespot.com/reviews/disney-think-fast-review/1900-6201475/,https://www.gamespot.com/games/disney-th-nk-fast/
Monster Lab Review,Sophia Tong,https://www.gamespot.com/reviews/monster-lab-review/1900-6201498/,https://www.gamespot.com/games/monster-lab/
Left 4 Dead Review,Chris Watters,https://www.gamespot.com/reviews/left-4-dead-review/1900-6201402/,https://www.gamespot.com/games/left-4-dead/
Sacred 2: Fallen Angel Review,Brett Todd,https://www.gamespot.com/reviews/sacred-2-fallen-angel-review/1900-6201392/,https://www.gamespot.com/games/sacred-2-fallen-angel/
Neverland Card Battles Review,Brett Todd,https://www.gamespot.com/reviews/neverland-card-battles-review/1900-6201389/,https://www.gamespot.com/games/neverland-card-battles/
Transformers Animated: The Game Review,Austin Shau,https://www.gamespot.com/reviews/transformers-animated-the-game-review/1900-6201403/,https://www.gamespot.com/games/transformers-animated-the-game/
Need for Speed Undercover Review,Aaron Thomas,https://www.gamespot.com/reviews/need-for-speed-undercover-review/1900-6201385/,https://www.gamespot.com/games/need-for-speed-undercover/
Need for Speed Undercover Review,Aaron Thomas,https://www.gamespot.com/reviews/need-for-speed-undercover-review/1900-6201382/,https://www.gamespot.com/games/need-for-speed-undercover/
Lips Review,Guy Cocker,https://www.gamespot.com/reviews/lips-review/1900-6201319/,https://www.gamespot.com/games/lips/
NCAA Basketball 09 Review,Gamespot Staff,https://www.gamespot.com/reviews/ncaa-basketball-09-review/1900-6201324/,https://www.gamespot.com/games/ncaa-basketball-09/
NCAA Basketball 09 Review,Gamespot Staff,https://www.gamespot.com/reviews/ncaa-basketball-09-review/1900-6201325/,https://www.gamespot.com/games/ncaa-basketball-09/
Midnight Club: LA Remix Review,Mitch Dyer,https://www.gamespot.com/reviews/midnight-club-la-remix-review/1900-6201315/,https://www.gamespot.com/games/midnight-club-la-remix/
Ninjatown Review,Anthony Perez,https://www.gamespot.com/reviews/ninjatown-review/1900-6201318/,https://www.gamespot.com/games/ninjatown/
Animal Crossing: City Folk Review,Justin Calvert,https://www.gamespot.com/reviews/animal-crossing-city-folk-review/1900-6201327/,https://www.gamespot.com/games/animal-crossing-city-folk/
Goosebumps: HorrorLand Review,Carolyn Petit,https://www.gamespot.com/reviews/goosebumps-horrorland-review/1900-6201317/,https://www.gamespot.com/games/goosebumps-horrorland/
Dragon Ball: Origins Review,Austin Light,https://www.gamespot.com/reviews/dragon-ball-origins-review/1900-6201263/,https://www.gamespot.com/games/dragon-ball-origins/
Naruto: Path of the Ninja 2 Review,Mitch Dyer,https://www.gamespot.com/reviews/naruto-path-of-the-ninja-2-review/1900-6201259/,https://www.gamespot.com/games/naruto-path-of-the-ninja-2/
Shaun White Snowboarding Review,Tom Mc Shea,https://www.gamespot.com/reviews/shaun-white-snowboarding-review/1900-6201064/,https://www.gamespot.com/games/shaun-white-snowboarding/
Shaun White Snowboarding Review,Tom Mc Shea,https://www.gamespot.com/reviews/shaun-white-snowboarding-review/1900-6201063/,https://www.gamespot.com/games/shaun-white-snowboarding/
Naruto: Clash of Ninja Revolution 2 Review,Joe Dodson,https://www.gamespot.com/reviews/naruto-clash-of-ninja-revolution-2-review/1900-6201201/,https://www.gamespot.com/games/naruto-clash-of-ninja-revolution-2/
Madagascar: Escape 2 Africa Review,Tom Mc Shea,https://www.gamespot.com/reviews/madagascar-escape-2-africa-review/1900-6201176/,https://www.gamespot.com/games/dreamworks-madagascar-escape-2-africa/
FIFA 09 All-Play Review,Guy Cocker,https://www.gamespot.com/reviews/fifa-09-all-play-review/1900-6200996/,https://www.gamespot.com/games/fifa-soccer-09/
Command & Conquer: Red Alert 3 Review,Kevin VanOrd,https://www.gamespot.com/reviews/command-and-conquer-red-alert-3-review/1900-6201068/,https://www.gamespot.com/games/command-and-conquer-red-alert-3/
Star Wars The Clone Wars: Lightsaber Duels Review,Jonathan Miller,https://www.gamespot.com/reviews/star-wars-the-clone-wars-lightsaber-duels-review/1900-6200976/,https://www.gamespot.com/games/star-wars-the-clone-wars-lightsaber-duels/
Call of Duty: World at War Review,Chris Watters,https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201015/,https://www.gamespot.com/games/call-of-duty-world-at-war/
Call of Duty: World at War Review,Chris Watters,https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201010/,https://www.gamespot.com/games/call-of-duty-world-at-war/
Call of Duty: World at War Review,Chris Watters,https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201026/,https://www.gamespot.com/games/call-of-duty-world-at-war/
Pro Evolution Soccer 2009 Review,,https://www.gamespot.com/reviews/pro-evolution-soccer-2009-review/1900-6200900/,https://www.gamespot.com/games/pro-evolution-soccer-2009/
Rock Band 2 Review,Aaron Thomas,https://www.gamespot.com/reviews/rock-band-2-review/1900-6200987/,https://www.gamespot.com/games/rock-band-2/
Rock Revolution Review,Aaron Thomas,https://www.gamespot.com/reviews/rock-revolution-review/1900-6200929/,https://www.gamespot.com/games/rock-revolution/
Rock Revolution Review,Aaron Thomas,https://www.gamespot.com/reviews/rock-revolution-review/1900-6200935/,https://www.gamespot.com/games/rock-revolution/
Mirror's Edge Review,Kevin VanOrd,https://www.gamespot.com/reviews/mirrors-edge-review/1900-6200862/,https://www.gamespot.com/games/mirrors-edge/
Naruto: Ultimate Ninja Storm Review,Justin Calvert,https://www.gamespot.com/reviews/naruto-ultimate-ninja-storm-review/1900-6200864/,https://www.gamespot.com/games/naruto-ultimate-ninja-storm/
Dark Horizon Review,Brett Todd,https://www.gamespot.com/reviews/dark-horizon-review/1900-6200853/,https://www.gamespot.com/games/dark-horizon/
Legendary Review,Kevin VanOrd,https://www.gamespot.com/reviews/legendary-review/1900-6200825/,https://www.gamespot.com/games/legendary/
Sam & Max: Season One Review,Carolyn Petit,https://www.gamespot.com/reviews/sam-and-max-season-one-review/1900-6200846/,https://www.gamespot.com/games/sam-and-max-save-the-world/
The Golden Horde Review,Brett Todd,https://www.gamespot.com/reviews/the-golden-horde-review/1900-6200860/,https://www.gamespot.com/games/the-golden-horde/
Vigilante 8 Arcade Review,Austin Light,https://www.gamespot.com/reviews/vigilante-8-arcade-review/1900-6200791/,https://www.gamespot.com/games/vigilante-8-arcade/
MotoGP 08 Review,,https://www.gamespot.com/reviews/motogp-08-review/1900-6200792/,https://www.gamespot.com/games/motogp-08/
MotoGP 08 Review,,https://www.gamespot.com/reviews/motogp-08-review/1900-6200712/,https://www.gamespot.com/games/motogp-08/
MotoGP 08 Review,,https://www.gamespot.com/reviews/motogp-08-review/1900-6200728/,https://www.gamespot.com/games/motogp-08/
Guitar Hero World Tour Review,Aaron Thomas,https://www.gamespot.com/reviews/guitar-hero-world-tour-review/1900-6200703/,https://www.gamespot.com/games/guitar-hero-world-tour-2008/
MySims Kingdom Review,Austin Light,https://www.gamespot.com/reviews/mysims-kingdom-review/1900-6200713/,https://www.gamespot.com/games/mysims-kingdom/
Scene It? Box Office Smash Review,Don Francis,https://www.gamespot.com/reviews/scene-it-box-office-smash-review/1900-6200705/,https://www.gamespot.com/games/scene-it-box-office-smash/
Resistance 2 Review,Chris Watters,https://www.gamespot.com/reviews/resistance-2-review/1900-6200653/,https://www.gamespot.com/games/resistance-2/
