title,reviewer,current_review_url,info_url
Fly! II Review,Bruce Grey,https://www.gamespot.com/reviews/fly-ii-review/1900-2766332/,https://www.gamespot.com/games/fly-ii/
World War II Online: Blitzkrieg Review,Bruce Grey,https://www.gamespot.com/reviews/world-war-ii-online-blitzkrieg-review/1900-2778704/,https://www.gamespot.com/games/world-war-ii-online-blitzkrieg/
Commander Keen Review,Frank Provo,https://www.gamespot.com/reviews/commander-keen-review/1900-2773955/,https://www.gamespot.com/games/commander-keen-2001/
Super Dodge Ball Review,Greg Kasavin,https://www.gamespot.com/reviews/super-dodge-ball-review/1900-2771739/,https://www.gamespot.com/games/super-dodge-ball-advance/
CART Fury Championship Racing Review,Gamespot Staff,https://www.gamespot.com/reviews/cart-fury-championship-racing-review/1900-2774023/,https://www.gamespot.com/games/cart-fury-championship-racing/
MLB 2002 Review,Frank Provo,https://www.gamespot.com/reviews/mlb-2002-review/1900-2717709/,https://www.gamespot.com/games/mlb-2002/
X-Men: Wolverine's Rage Review,Frank Provo,https://www.gamespot.com/reviews/x-men-wolverines-rage-review/1900-2774749/,https://www.gamespot.com/games/x-men-wolverines-rage/
Spider-Man 2: The Sinister Six Review,Frank Provo,https://www.gamespot.com/reviews/spider-man-2-the-sinister-six-review/1900-2775578/,https://www.gamespot.com/games/spider-man-2-the-sinister-six/
Shrek: Fairy Tale Freakdown Review,Frank Provo,https://www.gamespot.com/reviews/shrek-fairy-tale-freakdown-review/1900-2767227/,https://www.gamespot.com/games/shrek-fairy-tale-freakdown/
Boxing Review,,https://www.gamespot.com/reviews/boxing-review/1900-2770389/,https://www.gamespot.com/games/boxing/
Bowling Review,Tim Tracy,https://www.gamespot.com/reviews/bowling-review/1900-2770877/,https://www.gamespot.com/games/bowling-1981/
Alone in the Dark: The New Nightmare Review,Stephen Poole,https://www.gamespot.com/reviews/alone-in-the-dark-the-new-nightmare-review/1900-2783365/,https://www.gamespot.com/games/alone-in-the-dark-the-new-nightmare/
Pok&#233;mon Crystal Review,Frank Provo,https://www.gamespot.com/reviews/pokmon-crystal-review/1900-2799920/,https://www.gamespot.com/games/pokemon-gold-version/
Anarchy Online Review,Andrew Park,https://www.gamespot.com/reviews/anarchy-online-review/1900-2784822/,https://www.gamespot.com/games/anarchy-online/
Legends of Might and Magic Review,Scott Osborne,https://www.gamespot.com/reviews/legends-of-might-and-magic-review/1900-2783066/,https://www.gamespot.com/games/legends-of-might-and-magic/
Rune: Viking Warlord Review,Shane Satterfield,https://www.gamespot.com/reviews/rune-viking-warlord-review/1900-2800307/,https://www.gamespot.com/games/rune/
Alien Front Online Review,Ricardo Torres,https://www.gamespot.com/reviews/alien-front-online-review/1900-2802598/,https://www.gamespot.com/games/alien-front-online/
Baldur's Gate II: Throne of Bhaal Review,Greg Kasavin,https://www.gamespot.com/reviews/baldurs-gate-ii-throne-of-bhaal-review/1900-2780253/,https://www.gamespot.com/games/baldurs-gate-ii-shadows-of-amn/
Stupid Invaders Review,Shane Satterfield,https://www.gamespot.com/reviews/stupid-invaders-review/1900-2784166/,https://www.gamespot.com/games/stupid-invaders/
Outtrigger Review,Jeff Gerstmann,https://www.gamespot.com/reviews/outtrigger-review/1900-2798144/,https://www.gamespot.com/games/outtrigger/
MX 2002 Featuring Ricky Carmichael Review,Jeff Gerstmann,https://www.gamespot.com/reviews/mx-2002-featuring-ricky-carmichael-review/1900-2782584/,https://www.gamespot.com/games/mx-2002-featuring-ricky-carmichael/
