title,reviewer,current_review_url,info_url
Fullmetal Alchemist and the Broken Angel Review,Bethany Massimilla,https://www.gamespot.com/reviews/fullmetal-alchemist-and-the-broken-angel-review/1900-6116567/,https://www.gamespot.com/games/fullmetal-alchemist-and-the-broken-angel/
Hearts of Iron II Review,Brett Todd,https://www.gamespot.com/reviews/hearts-of-iron-ii-review/1900-6116549/,https://www.gamespot.com/games/hearts-of-iron-ii/
D-Day Review,Scott Osborne,https://www.gamespot.com/reviews/d-day-review/1900-6116548/,https://www.gamespot.com/games/d-day/
MC Groovz Dance Craze Review,Avery Score,https://www.gamespot.com/reviews/mc-groovz-dance-craze-review/1900-6116469/,https://www.gamespot.com/games/mc-groovz-dance-craze/
Suikoden IV Review,Bethany Massimilla,https://www.gamespot.com/reviews/suikoden-iv-review/1900-6116365/,https://www.gamespot.com/games/suikoden-iv/
Yahoo! Solitaire Review,Avery Score,https://www.gamespot.com/reviews/yahoo-solitaire-review/1900-6116368/,https://www.gamespot.com/games/yahoo-solitaire/
Mercenaries Review,Ryan Davis,https://www.gamespot.com/reviews/mercenaries-review/1900-6116252/,https://www.gamespot.com/games/mercenaries-playground-of-destruction/
Mercenaries Review,Ryan Davis,https://www.gamespot.com/reviews/mercenaries-review/1900-6116247/,https://www.gamespot.com/games/mercenaries-playground-of-destruction/
Joust Review,Stephen Palley,https://www.gamespot.com/reviews/joust-review/1900-6116238/,https://www.gamespot.com/games/joust/
Sentinel: Descendants in Time Review,Scott Osborne,https://www.gamespot.com/reviews/sentinel-descendants-in-time-review/1900-6116221/,https://www.gamespot.com/games/sentinel-descendants-in-time/
Virtua Quest Review,Bethany Massimilla,https://www.gamespot.com/reviews/virtua-quest-review/1900-6116166/,https://www.gamespot.com/games/virtua-quest/
Virtua Quest Review,Bethany Massimilla,https://www.gamespot.com/reviews/virtua-quest-review/1900-6116164/,https://www.gamespot.com/games/virtua-quest/
The Legend of Zelda: The Minish Cap Review,Brad Shoemaker,https://www.gamespot.com/reviews/the-legend-of-zelda-the-minish-cap-review/1900-6116162/,https://www.gamespot.com/games/the-legend-of-zelda-the-minish-cap/
Miami Vice Review,Avery Score,https://www.gamespot.com/reviews/miami-vice-review/1900-6116144/,https://www.gamespot.com/games/miami-vice/
The Mummy Review,Stephen Palley,https://www.gamespot.com/reviews/the-mummy-review/1900-6116143/,https://www.gamespot.com/games/the-mummy-indiagames/
The Getaway: Black Monday Review,Alex Navarro,https://www.gamespot.com/reviews/the-getaway-black-monday-review/1900-6116081/,https://www.gamespot.com/games/the-getaway-black-monday/
Resident Evil 4 Review,Greg Kasavin,https://www.gamespot.com/reviews/resident-evil-4-review/1900-6115968/,https://www.gamespot.com/games/resident-evil-4/
Dragon Ball Z: Budokai 2 Review,Ryan Davis,https://www.gamespot.com/reviews/dragon-ball-z-budokai-2-review/1900-6115979/,https://www.gamespot.com/games/dragon-ball-z-budokai-2/
American Chopper Review,Erik Wolpaw,https://www.gamespot.com/reviews/american-chopper-review/1900-6115678/,https://www.gamespot.com/games/american-chopper/
Tom Clancy's Ghost Recon Review,Amer Ajami,https://www.gamespot.com/reviews/tom-clancys-ghost-recon-review/1900-2898704/,https://www.gamespot.com/games/tom-clancys-ghost-recon/
MechAssault 2: Lone Wolf Review,Jeff Gerstmann,https://www.gamespot.com/reviews/mechassault-2-lone-wolf-review/1900-6115553/,https://www.gamespot.com/games/mechassault-2-lone-wolf/
Time of Defiance Review,Brett Todd,https://www.gamespot.com/reviews/time-of-defiance-review/1900-6115552/,https://www.gamespot.com/games/time-of-defiance/
