title,reviewer,current_review_url,info_url
Guns of Icarus Review,Kevin VanOrd,https://www.gamespot.com/reviews/guns-of-icarus-review/1900-6263817/,https://www.gamespot.com/games/guns-of-icarus/
Blur Review,Tom Mc Shea,https://www.gamespot.com/reviews/blur-review/1900-6263642/,https://www.gamespot.com/games/blur/
Blur Review,Tom Mc Shea,https://www.gamespot.com/reviews/blur-review/1900-6263660/,https://www.gamespot.com/games/blur/
Rocket Knight Review,Brett Todd,https://www.gamespot.com/reviews/rocket-knight-review/1900-6263362/,https://www.gamespot.com/games/rocket-knight/
Sherlock Holmes: The Mystery of the Persian Carpet Review,Brett Todd,https://www.gamespot.com/reviews/sherlock-holmes-the-mystery-of-the-persian-carpet-/1900-6263307/,https://www.gamespot.com/games/sherlock-holmes-the-mystery-of-the-persian-carpet/
Sherlock Holmes vs. Jack the Ripper Review,Brett Todd,https://www.gamespot.com/reviews/sherlock-holmes-vs-jack-the-ripper-review/1900-6263327/,https://www.gamespot.com/games/sherlock-holmes-vs-jack-the-ripper/
Zeno Clash: Ultimate Edition Review,Randolph Ramsay,https://www.gamespot.com/reviews/zeno-clash-ultimate-edition-review/1900-6263229/,https://www.gamespot.com/games/zeno-clash-ultimate-edition/
Super Mario Galaxy 2 Review,Tom Mc Shea,https://www.gamespot.com/reviews/super-mario-galaxy-2-review/1900-6263170/,https://www.gamespot.com/games/super-mario-galaxy-2/
Sin and Punishment: Successor of the Skies Review,Jane Douglas,https://www.gamespot.com/reviews/sin-and-punishment-successor-of-the-skies-review/1900-6263172/,https://www.gamespot.com/games/sin-and-punishment-star-successor/
Prince of Persia: The Forgotten Sands Review,Tom Mc Shea,https://www.gamespot.com/reviews/prince-of-persia-the-forgotten-sands-review/1900-6262722/,https://www.gamespot.com/games/prince-of-persia-the-forgotten-sands/
Things on Wheels Review,Brett Todd,https://www.gamespot.com/reviews/things-on-wheels-review/1900-6263045/,https://www.gamespot.com/games/things-on-wheels/
Rocket Knight Review,Brett Todd,https://www.gamespot.com/reviews/rocket-knight-review/1900-6263043/,https://www.gamespot.com/games/rocket-knight/
2010 FIFA World Cup South Africa Review,Guy Cocker,https://www.gamespot.com/reviews/2010-fifa-world-cup-south-africa-review/1900-6262878/,https://www.gamespot.com/games/2010-fifa-world-cup-south-africa/
Red Dead Redemption Review,Justin Calvert,https://www.gamespot.com/reviews/red-dead-redemption-review/1900-6262940/,https://www.gamespot.com/games/red-dead-redemption/
Red Dead Redemption Review,Justin Calvert,https://www.gamespot.com/reviews/red-dead-redemption-review/1900-6262899/,https://www.gamespot.com/games/red-dead-redemption/
Dementium II Review,Nathan Meunier,https://www.gamespot.com/reviews/dementium-ii-review/1900-6262921/,https://www.gamespot.com/games/dementium-ii/
Prince of Persia: The Forgotten Sands Review,Tom Mc Shea,https://www.gamespot.com/reviews/prince-of-persia-the-forgotten-sands-review/1900-6261837/,https://www.gamespot.com/games/prince-of-persia-the-forgotten-sands/
Prince of Persia: The Forgotten Sands Review,Tom Mc Shea,https://www.gamespot.com/reviews/prince-of-persia-the-forgotten-sands-review/1900-6262728/,https://www.gamespot.com/games/prince-of-persia-the-forgotten-sands/
Word Ace Review,Chris Reed,https://www.gamespot.com/reviews/word-ace-review/1900-6262869/,https://www.gamespot.com/games/word-ace/
Soul of Darkness Review,Andrew Podolsky,https://www.gamespot.com/reviews/soul-of-darkness-review/1900-6262613/,https://www.gamespot.com/games/soul-of-darkness/
Jewellust Review,Andrew Podolsky,https://www.gamespot.com/reviews/jewellust-review/1900-6262612/,https://www.gamespot.com/games/jewellust/
Hook Champ Review,Chris Reed,https://www.gamespot.com/reviews/hook-champ-review/1900-6262611/,https://www.gamespot.com/games/hook-champ/
Split/Second Review,Kevin VanOrd,https://www.gamespot.com/reviews/split-second-review/1900-6262503/,https://www.gamespot.com/games/split-second/
Split/Second Review,Kevin VanOrd,https://www.gamespot.com/reviews/split-second-review/1900-6262508/,https://www.gamespot.com/games/split-second/
Split/Second Review,Kevin VanOrd,https://www.gamespot.com/reviews/split-second-review/1900-6262505/,https://www.gamespot.com/games/split-second/
"Sakura Wars: So Long, My Love Review",Shiva Stella,https://www.gamespot.com/reviews/sakura-wars-so-long-my-love-review/1900-6262547/,https://www.gamespot.com/games/sakura-wars-so-long-my-love/
Raystorm HD Review,Brett Todd,https://www.gamespot.com/reviews/raystorm-hd-review/1900-6262543/,https://www.gamespot.com/games/raystorm/
Grand Theft Auto: Chinatown Wars Review,Gamespot Staff,https://www.gamespot.com/reviews/grand-theft-auto-chinatown-wars-review/1900-6262609/,https://www.gamespot.com/games/grand-theft-auto-chinatown-wars/
Trauma Team Review,Chris Watters,https://www.gamespot.com/reviews/trauma-team-review/1900-6262506/,https://www.gamespot.com/games/trauma-team/
Naruto Shippuden: Ultimate Ninja Heroes 3 Review,Carolyn Petit,https://www.gamespot.com/reviews/naruto-shippuden-ultimate-ninja-heroes-3-review/1900-6262338/,https://www.gamespot.com/games/naruto-shippuden-ultimate-ninja-heroes-3/
Skate 3 Review,Justin Calvert,https://www.gamespot.com/reviews/skate-3-review/1900-6261859/,https://www.gamespot.com/games/skate-3/
Skate 3 Review,Justin Calvert,https://www.gamespot.com/reviews/skate-3-review/1900-6262178/,https://www.gamespot.com/games/skate-3/
Lead and Gold: Gangs of the Wild West Review,Chris Watters,https://www.gamespot.com/reviews/lead-and-gold-gangs-of-the-wild-west-review/1900-6261944/,https://www.gamespot.com/games/lead-and-gold-gangs-of-the-wild-west/
Lost Planet 2 Review,Kevin VanOrd,https://www.gamespot.com/reviews/lost-planet-2-review/1900-6261582/,https://www.gamespot.com/games/lost-planet-2/
Lost Planet 2 Review,Kevin VanOrd,https://www.gamespot.com/reviews/lost-planet-2-review/1900-6261614/,https://www.gamespot.com/games/lost-planet-2/
Iron Man 2 Review,Chris Watters,https://www.gamespot.com/reviews/iron-man-2-review/1900-6261794/,https://www.gamespot.com/games/iron-man-2/
Hyperballoid HD Review,Randolph Ramsay,https://www.gamespot.com/reviews/hyperballoid-hd-review/1900-6261592/,https://www.gamespot.com/games/hyperballoid-hd/
The Whispered World Review,Brett Todd,https://www.gamespot.com/reviews/the-whispered-world-review/1900-6261473/,https://www.gamespot.com/games/the-whispered-world/
Heavy Rain Chronicles Episode 1: The Taxidermist Review,Tom Mc Shea,https://www.gamespot.com/reviews/heavy-rain-chronicles-episode-1-the-taxidermist-re/1900-6261318/,https://www.gamespot.com/games/heavy-rain/
Picross 3D Review,Nathan Meunier,https://www.gamespot.com/reviews/picross-3d-review/1900-6261327/,https://www.gamespot.com/games/picross-3d/
Serious Sam HD: The Second Encounter Review,Brett Todd,https://www.gamespot.com/reviews/serious-sam-hd-the-second-encounter-review/1900-6261027/,https://www.gamespot.com/games/serious-sam-the-second-encounter/
Tecmo Bowl Throwback Review,Brett Todd,https://www.gamespot.com/reviews/tecmo-bowl-throwback-review/1900-6261241/,https://www.gamespot.com/games/tecmo-bowl-throwback/
2010 FIFA World Cup South Africa Review,Justin Calvert,https://www.gamespot.com/reviews/2010-fifa-world-cup-south-africa-review/1900-6261244/,https://www.gamespot.com/games/2010-fifa-world-cup-south-africa/
NIER Review,Kevin VanOrd,https://www.gamespot.com/reviews/nier-review/1900-6260973/,https://www.gamespot.com/games/nier/
