title,reviewer,current_review_url,info_url
The Sims Bustin' Out Review,Andrew Park,https://www.gamespot.com/reviews/the-sims-bustin-out-review/1900-6085704/,https://www.gamespot.com/games/the-sims-bustin-out/
The Sims Bustin' Out Review,Andrew Park,https://www.gamespot.com/reviews/the-sims-bustin-out-review/1900-6085705/,https://www.gamespot.com/games/the-sims-bustin-out/
Medabots AX Review,Frank Provo,https://www.gamespot.com/reviews/medabots-ax-review/1900-2876145/,https://www.gamespot.com/games/medabots-ax-rokusho-ver/
Culdcept Review,Greg Kasavin,https://www.gamespot.com/reviews/culdcept-review/1900-6085672/,https://www.gamespot.com/games/culdcept-2003/
Yu-Gi-Oh! Power of Chaos - Yugi the Destiny Review,Ryan Davis,https://www.gamespot.com/reviews/yu-gi-oh-power-of-chaos-yugi-the-destiny-review/1900-6085671/,https://www.gamespot.com/games/yu-gi-oh-power-of-chaos-yugi-the-destiny/
Tokyo Xtreme Racer 3 Review,,https://www.gamespot.com/reviews/tokyo-xtreme-racer-3-review/1900-6085670/,https://www.gamespot.com/games/tokyo-xtreme-racer-3/
Prince of Persia: The Sands of Time Review,Brad Shoemaker,https://www.gamespot.com/reviews/prince-of-persia-the-sands-of-time-review/1900-6085669/,https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/
Mucha Lucha! Mascaritas of the Lost Code Review,Alex Navarro,https://www.gamespot.com/reviews/mucha-lucha-mascaritas-of-the-lost-code-review/1900-6085666/,https://www.gamespot.com/games/mucha-lucha-mascaritas-of-the-lost-code/
The King of Fighters 2000/2001 Review,Andrew Park,https://www.gamespot.com/reviews/the-king-of-fighters-2000-2001-review/1900-6085642/,https://www.gamespot.com/games/the-king-of-fighters-2000-2001/
Dr. Seuss' The Cat in the Hat Review,Frank Provo,https://www.gamespot.com/reviews/dr-seuss-the-cat-in-the-hat-review/1900-6085622/,https://www.gamespot.com/games/dr-seuss-the-cat-in-the-hat/
Broken Sword: The Sleeping Dragon Review,Scott Osborne,https://www.gamespot.com/reviews/broken-sword-the-sleeping-dragon-review/1900-6085621/,https://www.gamespot.com/games/broken-sword-the-sleeping-dragon/
Lock On: Modern Air Combat Review,Jeff Lackey,https://www.gamespot.com/reviews/lock-on-modern-air-combat-review/1900-6085534/,https://www.gamespot.com/games/lock-on-modern-air-combat/
Tom Clancy's Splinter Cell Review,Greg Kasavin,https://www.gamespot.com/reviews/tom-clancys-splinter-cell-review/1900-6085580/,https://www.gamespot.com/games/tom-clancys-splinter-cell/
Terminator 3: War of the Machines Review,Bob Colayco,https://www.gamespot.com/reviews/terminator-3-war-of-the-machines-review/1900-6085533/,https://www.gamespot.com/games/terminator-3-war-of-the-machines/
