title,reviewer,current_review_url,info_url
WCW Mayhem Review,Jeff Gerstmann,https://www.gamespot.com/reviews/wcw-mayhem-review/1900-2543681/,https://www.gamespot.com/games/wcw-mayhem/
TrickStyle Review,Ben Stahl,https://www.gamespot.com/reviews/trickstyle-review/1900-2540766/,https://www.gamespot.com/games/trickstyle/
Tomb Raider: The Last Revelation Review,James Mielke,https://www.gamespot.com/reviews/tomb-raider-the-last-revelation-review/1900-2540719/,https://www.gamespot.com/games/tomb-raider-the-last-revelation/
Tech Romancer Review,James Mielke,https://www.gamespot.com/reviews/tech-romancer-review/1900-2540707/,https://www.gamespot.com/games/tech-romancer/
Sega Rally 2 Review,James Mielke,https://www.gamespot.com/reviews/sega-rally-2-review/1900-2540551/,https://www.gamespot.com/games/sega-rally-championship-2/
NHL 2K Review,,https://www.gamespot.com/reviews/nhl-2k-review/1900-2540456/,https://www.gamespot.com/games/nhl-2k-sega-all-stars/
MDK2 Review,Ben Stahl,https://www.gamespot.com/reviews/mdk2-review/1900-2540058/,https://www.gamespot.com/games/mdk2/
Elemental Gimmick Gear Review,Ike Sato,https://www.gamespot.com/reviews/elemental-gimmick-gear-review/1900-2540050/,https://www.gamespot.com/games/elemental-gimmick-gear/
Rippin' Riders Review,Ben Stahl,https://www.gamespot.com/reviews/rippin-riders-review/1900-2540034/,https://www.gamespot.com/games/rippin-riders/
Settlers II Review,Trent Ward,https://www.gamespot.com/reviews/settlers-ii-review/1900-2532951/,https://www.gamespot.com/games/the-settlers-ii/
Sentinel Returns Review,Josh Smith,https://www.gamespot.com/reviews/sentinel-returns-review/1900-2532947/,https://www.gamespot.com/games/sentinel-returns/
Sentient Review,Stephen Poole,https://www.gamespot.com/reviews/sentient-review/1900-2532946/,https://www.gamespot.com/games/sentient/
Semper Fi Review,Alan Dunkin,https://www.gamespot.com/reviews/semper-fi-review/1900-2532945/,https://www.gamespot.com/games/semper-fi/
Sega Touring Car Championship Review,Stephen Poole,https://www.gamespot.com/reviews/sega-touring-car-championship-review/1900-2532944/,https://www.gamespot.com/games/sega-touring-car-championship/
Sega Rally Championship Review,Stephen Poole,https://www.gamespot.com/reviews/sega-rally-championship-review/1900-2532943/,https://www.gamespot.com/games/sega-rally-championship-1997/
Fighter Squadron: The Screamin' Demons over Europe Review,Denny Atkin,https://www.gamespot.com/reviews/fighter-squadron-the-screamin-demons-over-europe-r/1900-2532939/,https://www.gamespot.com/games/fighter-squadron-the-screamin-demons-over-europe/
Scud: Industrial Evolution Review,Gamespot Staff,https://www.gamespot.com/reviews/scud-industrial-evolution-review/1900-2532940/,https://www.gamespot.com/games/scud-industrial-evolution/
Screamer Review,Gamespot Staff,https://www.gamespot.com/reviews/screamer-review/1900-2532938/,https://www.gamespot.com/games/screamer/
Scorched Planet Review,Rebecca Anderson,https://www.gamespot.com/reviews/scorched-planet-review/1900-2532923/,https://www.gamespot.com/games/scorched-planet/
Scorcher Review,Jim Varner,https://www.gamespot.com/reviews/scorcher-review/1900-2532914/,https://www.gamespot.com/games/scorcher/
S.C.A.R.S. Review,Ron Dulin,https://www.gamespot.com/reviews/scars-review/1900-2532911/,https://www.gamespot.com/games/s-c-a-r-s/
Scarab Review,Jeff Sengstack,https://www.gamespot.com/reviews/scarab-review/1900-2532901/,https://www.gamespot.com/games/scarab/
Savage Review,Rebecca Anderson,https://www.gamespot.com/reviews/savage-review/1900-2532898/,https://www.gamespot.com/games/savage-the-ultimate-quest-for-survival/
Sanitarium Review,Gamespot Staff,https://www.gamespot.com/reviews/sanitarium-review/1900-2532871/,https://www.gamespot.com/games/sanitarium/
Sanctum Review,Tahsin Shamma,https://www.gamespot.com/reviews/sanctum-review/1900-2532865/,https://www.gamespot.com/games/sanctum-1998/
Sabre Ace: Conflict Over Korea Review,Chet Thomas,https://www.gamespot.com/reviews/sabre-ace-conflict-over-korea-review/1900-2532864/,https://www.gamespot.com/games/sabre-ace-conflict-over-korea/
Roberta Williams Anthology Review,Jeff Sengstack,https://www.gamespot.com/reviews/roberta-williams-anthology-review/1900-2532861/,https://www.gamespot.com/games/roberta-williams-anthology/
Tom Clancy's ruthless.com Review,Tahsin Shamma,https://www.gamespot.com/reviews/tom-clancys-ruthlesscom-review/1900-2532860/,https://www.gamespot.com/games/tom-clancys-ruthless-com/
Railroad Tycoon II - The Second Century Review,Loyd Case,https://www.gamespot.com/reviews/railroad-tycoon-ii-the-second-century-review/1900-2532859/,https://www.gamespot.com/games/railroad-tycoon-ii/
Rollcage Review,Stephen Poole,https://www.gamespot.com/reviews/rollcage-review/1900-2532849/,https://www.gamespot.com/games/rollcage/
Star Wars: Rogue Squadron 3D Review,Elliott Chin,https://www.gamespot.com/reviews/star-wars-rogue-squadron-3d-review/1900-2532848/,https://www.gamespot.com/games/star-wars-rogue-squadron-3d/
Rocket Jockey Review,Trent Ward,https://www.gamespot.com/reviews/rocket-jockey-review/1900-2532846/,https://www.gamespot.com/games/rocket-jockey/
Robert E. Lee: Civil War General Review,Kevin Mical,https://www.gamespot.com/reviews/robert-e-lee-civil-war-general-review/1900-2532844/,https://www.gamespot.com/games/robert-e-lee-civil-war-general/
Road Rash Win 95 Review,Mark East,https://www.gamespot.com/reviews/road-rash-win-95-review/1900-2532843/,https://www.gamespot.com/games/road-rash/
Road Warrior Review,Ron Dulin,https://www.gamespot.com/reviews/road-warrior-review/1900-2532830/,https://www.gamespot.com/games/road-warrior/
"Warhammer 40,000: Rites of War Review",Greg Kasavin,https://www.gamespot.com/reviews/warhammer-40000-rites-of-war-review/1900-2532817/,https://www.gamespot.com/games/warhammer-40-000-rites-of-war/
Risk Review,Ron Dulin,https://www.gamespot.com/reviews/risk-review/1900-2532816/,https://www.gamespot.com/games/risk/
The Rise and Rule of Ancient Empires Review,Trent Ward,https://www.gamespot.com/reviews/the-rise-and-rule-of-ancient-empires-review/1900-2532812/,https://www.gamespot.com/games/the-rise-and-rule-of-ancient-empires/
Rex Blade: The Battle Begins Review,Stephen Poole,https://www.gamespot.com/reviews/rex-blade-the-battle-begins-review/1900-2532806/,https://www.gamespot.com/games/rex-blade-the-battle-begins/
Revenge of Arcade Review,Stephen Poole,https://www.gamespot.com/reviews/revenge-of-arcade-review/1900-2532794/,https://www.gamespot.com/games/revenge-of-arcade/
Return to Krondor Review,Desslock,https://www.gamespot.com/reviews/return-to-krondor-review/1900-2532792/,https://www.gamespot.com/games/return-to-krondor/
Return Fire Review,Tim McDonald,https://www.gamespot.com/reviews/return-fire-review/1900-2532790/,https://www.gamespot.com/games/return-fire/
Microsoft Return of Arcade Review,Jeff Sengstack,https://www.gamespot.com/reviews/microsoft-return-of-arcade-review/1900-2532788/,https://www.gamespot.com/games/return-of-arcade/
Return Fire 2 Review,Chris Gregson,https://www.gamespot.com/reviews/return-fire-2-review/1900-2532789/,https://www.gamespot.com/games/return-fire-2/
Resident Evil 2 Review,Ron Dulin,https://www.gamespot.com/reviews/resident-evil-2-review/1900-2532786/,https://www.gamespot.com/games/resident-evil-2-1998/
Requiem: Avenging Angel Review,Elliott Chin,https://www.gamespot.com/reviews/requiem-avenging-angel-review/1900-2532785/,https://www.gamespot.com/games/requiem-avenging-angel/
Third Reich Review,Tim McDonald,https://www.gamespot.com/reviews/third-reich-review/1900-2532783/,https://www.gamespot.com/games/third-reich/
