title,reviewer,current_review_url,info_url
G-NOME Review,Stephen Poole,https://www.gamespot.com/reviews/g-nome-review/1900-2536253/,https://www.gamespot.com/games/g-nome/
Global Domination Review,Scott Krol,https://www.gamespot.com/reviews/global-domination-review/1900-2536250/,https://www.gamespot.com/games/global-domination/
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned Review",Erik Wolpaw,https://www.gamespot.com/reviews/gabriel-knight-3-blood-of-the-sacred-blood-of-the-/1900-2536249/,https://www.gamespot.com/games/gabriel-knight-3-blood-of-the-sacred-blood-of-th/
Get Medieval Review,Tahsin Shamma,https://www.gamespot.com/reviews/get-medieval-review/1900-2536239/,https://www.gamespot.com/games/get-medieval/
Gene Wars Review,Ron Dulin,https://www.gamespot.com/reviews/gene-wars-review/1900-2536238/,https://www.gamespot.com/games/gene-wars/
Gender Wars Review,Gamespot Staff,https://www.gamespot.com/reviews/gender-wars-review/1900-2536230/,https://www.gamespot.com/games/gender-wars/
Gazillionaire Deluxe Review,Ron Dulin,https://www.gamespot.com/reviews/gazillionaire-deluxe-review/1900-2536140/,https://www.gamespot.com/games/gazillionaire/
Gangsters Review,Ron Dulin,https://www.gamespot.com/reviews/gangsters-review/1900-2536135/,https://www.gamespot.com/games/gangsters/
The Game of Life Review,Walter Morbeck,https://www.gamespot.com/reviews/the-game-of-life-review/1900-2536134/,https://www.gamespot.com/games/the-game-of-life/
"Game, Net & Match! Review",Tasos Kaiafas,https://www.gamespot.com/reviews/game-net-and-match-review/1900-2536133/,https://www.gamespot.com/games/game-net-and-match/
Galapagos: Mendel's Escape Review,Stephen Poole,https://www.gamespot.com/reviews/galapagos-mendels-escape-review/1900-2536132/,https://www.gamespot.com/games/galapagos-mendels-escape/
FX Fighter Review,Hugo Foster,https://www.gamespot.com/reviews/fx-fighter-review/1900-2536131/,https://www.gamespot.com/games/fx-fighter/
Full Tilt! Pinball Review,Tal Blevins,https://www.gamespot.com/reviews/full-tilt-pinball-review/1900-2558726/,https://www.gamespot.com/games/full-tilt-pinball/
Full Tilt! 2 Pinball Review,Moira Muldoon,https://www.gamespot.com/reviews/full-tilt-2-pinball-review/1900-2536130/,https://www.gamespot.com/games/full-tilt-2-pinball/
Full Strength Strongman Competition Review,Stephen Poole,https://www.gamespot.com/reviews/full-strength-strongman-competition-review/1900-2536128/,https://www.gamespot.com/games/full-strength-strongman-competition/
Fox Sports Soccer '99 Review,Michael E.,https://www.gamespot.com/reviews/fox-sports-soccer-99-review/1900-2536127/,https://www.gamespot.com/games/fox-sports-soccer-99/
Frogger Review,Stephen Poole,https://www.gamespot.com/reviews/frogger-review/1900-2536125/,https://www.gamespot.com/games/frogger-1997/
Fox Sports Golf '99 Review,Stephen Poole,https://www.gamespot.com/reviews/fox-sports-golf-99-review/1900-2536126/,https://www.gamespot.com/games/fox-sports-golf-99/
Free Enterprise Review,Jeff Sengstack,https://www.gamespot.com/reviews/free-enterprise-review/1900-2536117/,https://www.gamespot.com/games/free-enterprise/
Front Page Sports: Ski Racing Review,Tasos Kaiafas,https://www.gamespot.com/reviews/front-page-sports-ski-racing-review/1900-2536110/,https://www.gamespot.com/games/front-page-sports-ski-racing/
