title,reviewer,current_review_url,info_url
Viva Pinata Review,Justin Calvert,https://www.gamespot.com/reviews/viva-pinata-review/1900-6161804/,https://www.gamespot.com/games/viva-pinata/
Resistance: Fall of Man Review,Greg Kasavin,https://www.gamespot.com/reviews/resistance-fall-of-man-review/1900-6161706/,https://www.gamespot.com/games/resistance-fall-of-man/
Excite Truck Review,Jeff Gerstmann,https://www.gamespot.com/reviews/excite-truck-review/1900-6161717/,https://www.gamespot.com/games/excite-truck/
Call of Duty 3 Review,Aaron Thomas,https://www.gamespot.com/reviews/call-of-duty-3-review/1900-6161718/,https://www.gamespot.com/games/call-of-duty-3-working-title/
Dead or Alive Xtreme 2 Review,Ryan Davis,https://www.gamespot.com/reviews/dead-or-alive-xtreme-2-review/1900-6161719/,https://www.gamespot.com/games/dead-or-alive-xtreme-2/
Medieval 2: Total War Review,Jason Ocampo,https://www.gamespot.com/reviews/medieval-2-total-war-review/1900-6161703/,https://www.gamespot.com/games/medieval-ii-total-war/
Evidence: The Last Ritual Review,Brett Todd,https://www.gamespot.com/reviews/evidence-the-last-ritual-review/1900-6161677/,https://www.gamespot.com/games/evidence-the-last-ritual/
WWE SmackDown! vs. RAW 2007 Review,Alex Navarro,https://www.gamespot.com/reviews/wwe-smackdown-vs-raw-2007-review/1900-6161695/,https://www.gamespot.com/games/wwe-smackdown-vs-raw-2007/
WWE SmackDown! vs. RAW 2007 Review,Alex Navarro,https://www.gamespot.com/reviews/wwe-smackdown-vs-raw-2007-review/1900-6161624/,https://www.gamespot.com/games/wwe-smackdown-vs-raw-2007/
Yoshi's Island DS Review,Frank Provo,https://www.gamespot.com/reviews/yoshis-island-ds-review/1900-6161583/,https://www.gamespot.com/games/yoshis-island-ds/
Lumines II Review,Aaron Thomas,https://www.gamespot.com/reviews/lumines-ii-review/1900-6161578/,https://www.gamespot.com/games/lumines-ii/
Children of Mana Review,Greg Mueller,https://www.gamespot.com/reviews/children-of-mana-review/1900-6161608/,https://www.gamespot.com/games/children-of-mana/
Contra Review,Jeff Gerstmann,https://www.gamespot.com/reviews/contra-review/1900-6161499/,https://www.gamespot.com/games/contra/
Need for Speed Carbon Review,Frank Provo,https://www.gamespot.com/reviews/need-for-speed-carbon-review/1900-6161494/,https://www.gamespot.com/games/need-for-speed-carbon/
Star Trek: Encounters Review,Kevin VanOrd,https://www.gamespot.com/reviews/star-trek-encounters-review/1900-6161503/,https://www.gamespot.com/games/star-trek-encounters/
Stronghold Legends Review,Brett Todd,https://www.gamespot.com/reviews/stronghold-legends-review/1900-6161495/,https://www.gamespot.com/games/stronghold-legends/
Star Trek: Tactical Assault Review,Kevin VanOrd,https://www.gamespot.com/reviews/star-trek-tactical-assault/1900-6161489/,https://www.gamespot.com/games/star-trek-tactical-assault/
Jaws Unleashed Review,Alex Navarro,https://www.gamespot.com/reviews/jaws-unleashed-review/1900-6161493/,https://www.gamespot.com/games/jaws-unleashed/
Need for Speed Carbon: Own the City Review,Ryan Davis,https://www.gamespot.com/reviews/need-for-speed-carbon-own-the-city-review/1900-6161502/,https://www.gamespot.com/games/need-for-speed-carbon/
Need for Speed Carbon: Own the City Review,Frank Provo,https://www.gamespot.com/reviews/need-for-speed-carbon-own-the-city-review/1900-6161483/,https://www.gamespot.com/games/need-for-speed-carbon/
FIFA 07 Review,Justin Calvert,https://www.gamespot.com/reviews/fifa-07-review/1900-6161440/,https://www.gamespot.com/games/fifa-07-soccer/
Tony Hawk's Downhill Jam Review,Frank Provo,https://www.gamespot.com/reviews/tony-hawks-downhill-jam-review/1900-6161413/,https://www.gamespot.com/games/tony-hawks-downhill-jam/
