title,reviewer,current_review_url,info_url
NFL Xtreme Review,Vince Broady,https://www.gamespot.com/reviews/nfl-xtreme-review/1900-2548735/,https://www.gamespot.com/games/nfl-xtreme/
Azure Dreams Review,James Mielke,https://www.gamespot.com/reviews/azure-dreams-review/1900-2546709/,https://www.gamespot.com/games/azure-dreams/
Descent: Freespace - The Great War Review,Desslock,https://www.gamespot.com/reviews/descent-freespace-the-great-war-review/1900-2538607/,https://www.gamespot.com/games/descent-freespace-the-great-war/
Beast Wars: Transformers Review,Josh Smith,https://www.gamespot.com/reviews/beast-wars-transformers-review/1900-2538160/,https://www.gamespot.com/games/beast-wars-transformers/
Pocket Fighter Review,Jeff Gerstmann,https://www.gamespot.com/reviews/pocket-fighter-review/1900-2548928/,https://www.gamespot.com/games/pocket-fighter/
Cardinal Syn Review,,https://www.gamespot.com/reviews/cardinal-syn-review/1900-2546946/,https://www.gamespot.com/games/cardinal-syn/
Final Fantasy VII Review,Ron Dulin,https://www.gamespot.com/reviews/final-fantasy-vii-review/1900-2536027/,https://www.gamespot.com/games/final-fantasy-vii/
Banjo-Kazooie Review,Jeff Gerstmann,https://www.gamespot.com/reviews/banjo-kazooie-review/1900-2544109/,https://www.gamespot.com/games/banjo-kazooie/
Extreme Tactics Review,Stephen Poole,https://www.gamespot.com/reviews/extreme-tactics-review/1900-2535880/,https://www.gamespot.com/games/extreme-tactics/
Circuit Breakers Review,Jeff Gerstmann,https://www.gamespot.com/reviews/circuit-breakers-review/1900-2547030/,https://www.gamespot.com/games/circuit-breakers-1998/
Mortal Kombat 4 Review,Jeff Gerstmann,https://www.gamespot.com/reviews/mortal-kombat-4-review/1900-2546008/,https://www.gamespot.com/games/mortal-kombat-4/
Bomberman Hero Review,James Mielke,https://www.gamespot.com/reviews/bomberman-hero-review/1900-2544193/,https://www.gamespot.com/games/bomberman-hero/
Bio F.R.E.A.K.S. Review,,https://www.gamespot.com/reviews/bio-freaks-review/1900-2544135/,https://www.gamespot.com/games/bio-freaks/
Mortal Kombat 4 Review,Jeff Gerstmann,https://www.gamespot.com/reviews/mortal-kombat-4-review/1900-2543690/,https://www.gamespot.com/games/mortal-kombat-4/
Might and Magic VI: The Mandate of Heaven Review,Desslock,https://www.gamespot.com/reviews/might-and-magic-vi-the-mandate-of-heaven-review/1900-2542598/,https://www.gamespot.com/games/might-and-magic-vi-the-mandate-of-heaven/
Panzer Dragoon Saga Review,James Mielke,https://www.gamespot.com/reviews/panzer-dragoon-saga-review/1900-2534034/,https://www.gamespot.com/games/panzer-dragoon-saga/
