review_url,title,metacritic,user_avg,count,10,9,8,7,6,5,4,3,2,1
https://www.gamespot.com/reviews/brothers-in-arms-double-time-review/1900-6201510/,Animal Crossing: City Folk,73,8.2,2552,749,739,619,246,70,38,15,18,10,48
https://www.gamespot.com/reviews/left-4-dead-review/1900-6201523/,Goosebumps HorrorLand,37,5.8,57,11,5,4,7,8,3,4,6,1,8
https://www.gamespot.com/reviews/disney-think-fast-review/1900-6201475/,Dragon Ball: Origins,78,8.3,348,94,118,91,26,9,2,2,1,1,4
https://www.gamespot.com/reviews/monster-lab-review/1900-6201498/,Naruto: Path of the Ninja 2,62,8.3,188,72,42,32,22,10,3,0,3,0,4
https://www.gamespot.com/reviews/left-4-dead-review/1900-6201402/,Shaun White Snowboarding,63,6.9,1246,192,198,253,226,141,81,43,26,21,65
https://www.gamespot.com/reviews/sacred-2-fallen-angel-review/1900-6201392/,Shaun White Snowboarding,63,6.9,1246,192,198,253,226,141,81,43,26,21,65
https://www.gamespot.com/reviews/ninjatown-review/1900-6201318/,Pro Evolution Soccer 2009,74,7.7,2197,449,549,590,289,103,57,29,25,34,72
https://www.gamespot.com/reviews/animal-crossing-city-folk-review/1900-6201327/,Rock Band 2,92,8.9,5412,2224,2455,470,104,25,14,10,6,17,87
https://www.gamespot.com/reviews/goosebumps-horrorland-review/1900-6201317/,Rock Revolution,38,3.2,488,34,10,17,20,14,37,44,44,53,215
https://www.gamespot.com/reviews/dragon-ball-origins-review/1900-6201263/,Rock Revolution,38,3.2,488,34,10,17,20,14,37,44,44,53,215
https://www.gamespot.com/reviews/naruto-path-of-the-ninja-2-review/1900-6201259/,Mirror's Edge,81,8,9677,1729,3102,2992,1069,339,150,65,50,39,142
https://www.gamespot.com/reviews/shaun-white-snowboarding-review/1900-6201064/,Naruto: Ultimate Ninja Storm,,8.6,2005,773,596,439,99,34,13,5,3,5,38
https://www.gamespot.com/reviews/shaun-white-snowboarding-review/1900-6201063/,Dark Horizon,55,5.5,175,18,10,17,21,23,28,21,16,8,13
https://www.gamespot.com/reviews/naruto-clash-of-ninja-revolution-2-review/1900-6201201/,Legendary,50,5.2,1844,186,95,192,238,219,227,162,143,132,250
https://www.gamespot.com/reviews/madagascar-escape-2-africa-review/1900-6201176/,Sam & Max: Save the World,82,8.1,2785,446,882,986,310,80,23,10,5,7,36
https://www.gamespot.com/reviews/fifa-09-all-play-review/1900-6200996/,The Golden Horde,54,6,102,19,3,9,15,23,10,7,4,2,10
https://www.gamespot.com/reviews/command-and-conquer-red-alert-3-review/1900-6201068/,Vigilante 8: Arcade,58,6.2,129,17,11,18,23,16,19,7,8,7,3
https://www.gamespot.com/reviews/star-wars-the-clone-wars-lightsaber-duels-review/1900-6200976/,MotoGP 08,65,6.9,485,79,67,120,98,29,25,13,7,10,37
https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201015/,MotoGP 08,65,6.9,485,79,67,120,98,29,25,13,7,10,37
https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201010/,MotoGP 08,65,6.9,485,79,67,120,98,29,25,13,7,10,37
https://www.gamespot.com/reviews/call-of-duty-world-at-war-review/1900-6201026/,Guitar Hero World Tour (2008),,8.2,6529,1551,2447,1570,470,137,85,37,30,24,178
https://www.gamespot.com/reviews/pro-evolution-soccer-2009-review/1900-6200900/,MySims Kingdom,76,7.3,460,84,86,125,65,37,16,13,4,7,23
https://www.gamespot.com/reviews/rock-band-2-review/1900-6200987/,Scene It? Box Office Smash,76,8,338,39,107,144,34,3,3,4,1,1,2
https://www.gamespot.com/reviews/rock-revolution-review/1900-6200929/,Resistance 2,87,8.6,8881,3297,3547,1217,360,134,56,49,22,33,166
https://www.gamespot.com/reviews/rock-revolution-review/1900-6200935/,Tom Clancy's EndWar,68,7.2,3235,537,621,807,535,214,167,78,76,60,140
https://www.gamespot.com/reviews/mirrors-edge-review/1900-6200862/,Tom Clancy's EndWar,68,7.2,3235,537,621,807,535,214,167,78,76,60,140
https://www.gamespot.com/reviews/naruto-ultimate-ninja-storm-review/1900-6200864/,Bleach: Dark Souls,82,8.6,520,180,190,102,29,5,5,0,0,3,6
https://www.gamespot.com/reviews/dark-horizon-review/1900-6200853/,007: Quantum of Solace,70,7.6,4074,630,805,1319,739,249,124,48,39,25,96
https://www.gamespot.com/reviews/legendary-review/1900-6200825/,MySims Kingdom,76,7.3,460,84,86,125,65,37,16,13,4,7,23
https://www.gamespot.com/reviews/sam-and-max-season-one-review/1900-6200846/,Guitar Hero World Tour (2008),,8.2,6529,1551,2447,1570,470,137,85,37,30,24,178
https://www.gamespot.com/reviews/the-golden-horde-review/1900-6200860/,Spectrobes: Beyond the Portals,70,7.9,238,79,45,49,21,19,11,4,2,1,7
