review_url,title,metacritic,user_avg,count,10,9,8,7,6,5,4,3,2,1
https://www.gamespot.com/reviews/sequence-review/1900-6346560/,Need for Speed: The Run,69,7.2,1918,296,298,531,337,175,85,43,31,41,81
https://www.gamespot.com/reviews/medieval-moves-deadmunds-quest-review/1900-6346532/,Need for Speed: The Run,69,7.2,1918,296,298,531,337,175,85,43,31,41,81
https://www.gamespot.com/reviews/raving-rabbids-alive-and-kicking-review/1900-6346443/,Halo: Combat Evolved,83,9.1,49692,28456,14485,3669,1142,504,307,145,92,128,764
https://www.gamespot.com/reviews/burgertime-world-tour-review/1900-6346488/,Blackwater,37,3.5,,,,,,,,,,,
https://www.gamespot.com/reviews/jurassic-park-the-game-review/1900-6346470/,The Legend of Zelda: Skyward Sword,93,8.8,2450,1359,567,249,121,37,26,9,12,17,53
https://www.gamespot.com/reviews/jurassic-park-the-game-review/1900-6346475/,The Elder Scrolls V: Skyrim,94,9,18832,11766,4437,1212,438,235,136,59,65,81,403
https://www.gamespot.com/reviews/shinobi-review/1900-6346466/,Rayman Origins,86,8.6,1436,406,655,259,67,22,11,4,0,2,10
https://www.gamespot.com/reviews/the-binding-of-isaac-review/1900-6346463/,Rayman Origins,86,8.6,1436,406,655,259,67,22,11,4,0,2,10
https://www.gamespot.com/reviews/aliens-infestation-review/1900-6346310/,Rayman Origins,86,8.6,1436,406,655,259,67,22,11,4,0,2,10
https://www.gamespot.com/reviews/ncis-review/1900-6346297/,Saints Row: The Third,84,8.3,3949,978,1599,796,277,110,57,26,20,21,65
https://www.gamespot.com/reviews/need-for-speed-the-run-review/1900-6346231/,Ultimate Marvel vs. Capcom 3,,8,657,111,247,180,63,23,10,6,2,8,7
https://www.gamespot.com/reviews/need-for-speed-the-run-review/1900-6346210/,Ultimate Marvel vs. Capcom 3,,8,657,111,247,180,63,23,10,6,2,8,7
https://www.gamespot.com/reviews/halo-combat-evolved-anniversary-review/1900-6346217/,The War of the Worlds,55,6.4,20,7,1,1,1,2,3,1,2,0,2
https://www.gamespot.com/reviews/blackwater-review/1900-6346215/,Assassin's Creed: Revelations,80,8.4,5687,1621,2166,1218,355,112,66,25,12,23,89
https://www.gamespot.com/reviews/the-legend-of-zelda-skyward-sword-review/1900-6345839/,Assassin's Creed: Revelations,80,8.4,5687,1621,2166,1218,355,112,66,25,12,23,89
https://www.gamespot.com/reviews/the-elder-scrolls-v-skyrim-review/1900-6345710/,Saints Row: The Third,84,8.3,3949,978,1599,796,277,110,57,26,20,21,65
https://www.gamespot.com/reviews/rayman-origins-review/1900-6345837/,Sonic Generations,77,8.5,1297,389,468,279,89,30,16,8,3,2,13
https://www.gamespot.com/reviews/rayman-origins-review/1900-6345841/,Sonic Generations,77,8.5,1297,389,468,279,89,30,16,8,3,2,13
https://www.gamespot.com/reviews/rayman-origins-review/1900-6345830/,BurgerTime World Tour,55,5.7,16,0,2,2,2,4,3,1,0,2,0
https://www.gamespot.com/reviews/saints-row-the-third-review/1900-6345796/,PixelJunk SideScroller,76,6.9,,,,,,,,,,,
