url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/bastion/,Bastion,"Jul 20, 2011","iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One",Bastion is an action role-playing game from Supergiant Games.,Supergiant Games,"Warner Bros. Interactive Entertainment, Supergiant Games, Limited Run Games","Role-Playing, Action",Everyone 10+
https://www.gamespot.com/games/dark-souls-ii/,Dark Souls II,"Mar 11, 2014","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Dark Souls II is a sequel to From Software's critically acclaimed title Dark Souls. The game features a new hero, a fresh storyline, and an ""unfamiliar"" setting.","From Software, Namco Bandai Games","Bandai Namco Games, Namco Bandai Games, From Software","Role-Playing, Action",Teen
https://www.gamespot.com/games/pillars-of-eternity/,Pillars of Eternity,"Mar 26, 2015","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One","Pillars of Eternity is an isometric, party-based computer RPG set in a new fantasy world developed by Obsidian Entertainment.","Obsidian Entertainment, Red Cerberus, Paradox Arctic","Paradox Interactive, Versus Evil, Encore Software, Inc.",Role-Playing,Mature
https://www.gamespot.com/games/mlb-15-the-show/,MLB 15: The Show,"Mar 31, 2015","PlayStation 3, PlayStation 4, PlayStation Vita",MLB 15: The Show is a realistic baseball game that lets you feel the MLB experience.,SCEA San Diego Studios,"SCEA, SCEI, SCE Australia, SCEE, Sony Interactive Entertainment","Sports, Team-Based, Baseball, Simulation",Everyone
https://www.gamespot.com/games/etrian-mystery-dungeon/,Etrian Mystery Dungeon,"Apr 7, 2015",3DS,"Infinite Dungeons to Explore: Etrian Mystery Dungeon incorporates the random map feature, which changes the floor terrain each time a player enters the dungeon.",Spike Chunsoft,"ATLUS, NIS America","Role-Playing, Roguelike",Everyone 10+
https://www.gamespot.com/games/dyscourse/,Dyscourse,"Mar 25, 2015","Linux, Macintosh, PC",Dyscourse is an interactive choose-your-own adventure where you journey through a stylized world of choice and consequence.,Owlchemy Labs,Owlchemy Labs,Adventure,
https://www.gamespot.com/games/three-fourths-home/,Three Fourths Home,"Aug 3, 2014","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One","In Three Fourths Home, players assume the role of Kelly while she is driving home during this thunderstorm.",[bracket]games,"[bracket]games, Digerati Distribution","Text-Based, Adventure",Mature
https://www.gamespot.com/games/sunless-sea/,Sunless Sea,"Jul 1, 2014","iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One","Sunless Sea is a game of discovery, loneliness and frequent death, set in the award-winning Victorian Gothic universe of Fallen London.","Failbetter Games, Digerati Distribution","Failbetter Games, Digerati Distribution","Action, Adventure",Mature
https://www.gamespot.com/games/sid-meiers-starships/,Sid Meier's Starships,"Mar 12, 2015","iOS (iPhone/iPad), Macintosh, PC",Control a fleet of starships on your quest to control the galaxy in Sid Meier's Starships.,Firaxis Games,2K Games,"Strategy, Turn-Based",
https://www.gamespot.com/games/dreamfall-chapters/,Dreamfall Chapters,"Oct 21, 2014","Linux, Macintosh, PC, PlayStation 4, Xbox One","Dreamfall Chapters continues and concludes the gripping story of Zoe Castillo, the Dreamer.",Red Thread Games,"Red Thread Games, Deep Silver, Koch Media","3D, Adventure, Third-Person",Mature
https://www.gamespot.com/games/story-of-seasons/,Story of Seasons,"Feb 28, 2014",3DS,"Story of Seasons is the beginning of a new chapter in the ‘Bokujo Monogatari’ series, a long-standing and top-selling farming/life simulation franchise.",Marvelous AQL,"Xseed Games, Marvelous AQL, Nintendo, Marvelous Inc.",Strategy,Everyone 10+
https://www.gamespot.com/games/resogun/,Resogun,"Nov 15, 2013","PlayStation 3, PlayStation 4, PlayStation Vita",Resogun is an intense fast-paced shoot em' up developed exclusively for the PS4.,"XDEV, Housemarque, Climax Group","SCEA, SCEE, SCEI, SCE Australia","Shoot-'Em-Up, Action, 2D",Everyone 10+
