url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/animal-crossing-city-folk/,Animal Crossing: City Folk,"Nov 16, 2008",Wii,"This unusual game about collecting items, customizing your house, and interacting with cute animal neighbors adds online support for the Wii.",Nintendo,Nintendo,Simulation,Everyone
https://www.gamespot.com/games/goosebumps-horrorland/,Goosebumps HorrorLand,"Oct 30, 2008","DS, PlayStation 2, Wii","Goosebumps HorrorLand puts you in the heart of HorrorLand, a fright-themed amusement park filled with creepy horrors.","SScholastic Media, Gusto Games","Scholastic, Inc.",Adventure,Everyone 10+
https://www.gamespot.com/games/dragon-ball-origins/,Dragon Ball: Origins,"Nov 4, 2008",DS,Follow Goku and his sidekick Bulma as they travel the world overcoming enemies and obstacles to collect the 7 Dragon Balls.,Game Republic,"Bandai, Namco Bandai Games, Bandai Namco Games, Atari SA","Adventure, Action",Teen
https://www.gamespot.com/games/naruto-path-of-the-ninja-2/,Naruto: Path of the Ninja 2,"Oct 15, 2008",DS,Naruto: Path of the Ninja 2 is a role-playing game set in the Naruto universe and features 30 characters from the series.,TOSE,"Tomy Corporation, Takara Tomy",Role-Playing,Everyone 10+
https://www.gamespot.com/games/shaun-white-snowboarding/,Shaun White Snowboarding,"Nov 16, 2008","DS, Macintosh, PC, PlayStation 2, PlayStation 3, PSP, Wii, Xbox 360","Ubisoft is teaming up with Olympic medalist, X-Games champion, and so-called ""Flying Tomato"" Shaun White for an all-new snowboarding game.","Ubisoft, Ubisoft Montreal","Ubisoft, Focus Multimedia, Rondomedia","Snowboarding/Skiing, Sports",Teen
https://www.gamespot.com/games/shaun-white-snowboarding/,Shaun White Snowboarding,"Nov 16, 2008","DS, Macintosh, PC, PlayStation 2, PlayStation 3, PSP, Wii, Xbox 360","Ubisoft is teaming up with Olympic medalist, X-Games champion, and so-called ""Flying Tomato"" Shaun White for an all-new snowboarding game.","Ubisoft, Ubisoft Montreal","Ubisoft, Rondomedia, Focus Multimedia","Sports, Snowboarding/Skiing",Teen
https://www.gamespot.com/games/naruto-clash-of-ninja-revolution-2/,Naruto: Clash of Ninja Revolution 2,"Oct 21, 2008",Wii,"Revolution 2 features destructible stages, four-player multiplayer battles, and gameplay modes and characters not yet seen on the Clash of Ninja series.",Eighting,Tomy Corporation,"Fighting, 3D, Action",Teen
https://www.gamespot.com/games/dreamworks-madagascar-escape-2-africa/,DreamWorks Madagascar: Escape 2 Africa,"Nov 4, 2008","DS, PC, PlayStation 2, PlayStation 3, Wii, Xbox 360",Play as your favorite Madagascar characters in an attempt to save the African Savannah in Madagascar: Escape 2 Africa.,"Amaze Entertainment, Aspyr, Idol Minds, Toys for Bob",Activision,"Adventure, Action",Everyone 10+
https://www.gamespot.com/games/fifa-soccer-09/,FIFA Soccer 09,"Oct 13, 2008","DS, PC, PlayStation 2, PlayStation 3, PSP, Wii, Windows Mobile, Xbox 360, Zeebo","FIFA Soccer 09 brings back EA's soccer series for another year with updated rosters, improved graphics, and other enhancements.","EA Canada, EA Mobile, EA Sports","EA Sports, Electronic Arts, EA Mobile","Soccer, Sports, Team-Based, Simulation",Everyone
https://www.gamespot.com/games/command-and-conquer-red-alert-3/,Command & Conquer: Red Alert 3,"Oct 28, 2008","Macintosh, PC, PlayStation 3, Xbox 360","C&C returns with a world in which the Soviets, the Allies, and the Empire of the Rising Sun fight WWIII with odd weaponry like Tesla coils and intelligent dolphins.",EA LA,Electronic Arts,"Real-Time, Strategy",Teen
