url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/soundfall/,Soundfall,"May 11, 2022","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,Drastic Games,Noodlecake Studios Inc,"Adventure, Action",
https://www.gamespot.com/games/apex-legends-mobile/,Apex Legends Mobile,"May 17, 2022","Android, iOS (iPhone/iPad)",,Respawn Entertainment,Electronic Arts,"Action, First-Person, Shooter, Tactical",Teen
https://www.gamespot.com/games/hatsune-miku-project-diva-megamix/,Hatsune Miku: Project Diva MegaMix,"May 15, 2020","Nintendo Switch, PC",,Sega AM2,Sega,Music/Rhythm,Teen
https://www.gamespot.com/games/sniper-elite-5/,Sniper Elite 5,"May 26, 2022","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,Rebellion,"Rebellion, Game Source Entertainment, Sold Out","Tactical, Action, First-Person, Shooter",Mature
https://www.gamespot.com/games/evil-dead-the-game/,Evil Dead: The Game,"May 13, 2022","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,Saber Interactive,"Saber Interactive, Nighthawk Interactive","Adventure, Survival, 3D, Action",Mature
https://www.gamespot.com/games/vampire-the-masquerade-swansong/,Vampire: The Masquerade - Swansong,"May 19, 2022","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,Big Bad Wolf,"Nacon, Maximum Games",Role-Playing,Mature
https://www.gamespot.com/games/salt-and-sacrifice/,Salt and Sacrifice,"May 10, 2022","PC, PlayStation 4, PlayStation 5",,"Devoured Studios, Ska Studios",Ska Studios,"Platformer, Action, Metroidvania",
https://www.gamespot.com/games/eiyuden-chronicle-rising/,Eiyuden Chronicle: Rising,"May 10, 2022","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,"NATSUME ATARI Inc., Rabbit & Bear Studios","505 Games, N/A","Action, Role-Playing",Everyone 10+
https://www.gamespot.com/games/trek-to-yomi/,Trek to Yomi,"May 5, 2022","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",,Flying Wild Hog,"Devolver Digital, Special Reserve Games","Adventure, Action",Mature
https://www.gamespot.com/games/rifftrax-the-game/,RiffTrax: The Game,"May 5, 2022","Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Wide Right Interactive,Wide Right Interactive,Party/Minigame,Teen
