url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/anno-1800/,Anno 1800,"Apr 16, 2019",PC,Anno 1800,Blue Byte,Ubisoft,"Strategy, Management",
https://www.gamespot.com/games/total-war-three-kingdoms/,Total War: Three Kingdoms,"May 23, 2019","Linux, Macintosh, PC",Total War: Three Kingdoms,"Creative Assembly, Feral Interactive","Sega, Feral Interactive","Strategy, Real-Time",Teen
https://www.gamespot.com/games/travis-strikes-again-no-more-heroes/,Travis Strikes Again: No More Heroes,"Jan 18, 2019","Nintendo Switch, PC, PlayStation 4",,Grasshopper Manufacture,"Marvelous, Pix'n Love, Grasshopper Manufacture, Marvelous Inc.","Beat-'Em-Up, Action, 3D",Mature
https://www.gamespot.com/games/a-plague-tale-innocence/,A Plague Tale: Innocence,"May 13, 2019","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",A Plague Tale: Innocence,Asobo Studio,"Focus Home Interactive, Oizumi Amuzio, Maximum Games","Action, Adventure",Mature
https://www.gamespot.com/games/layers-of-fear-2/,Layers of Fear 2,"May 28, 2019","Nintendo Switch, PC, PlayStation 4, Xbox One",Layers of Fear 2,Bloober Team,"NA Publishing, Bloober Team, Gun Media, GUN MEDIA HOLDINGS, INC, NATSUME ATARI Inc.","Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/everybodys-golf-vr/,Everybody's Golf VR,"May 21, 2019",PlayStation 4,Everybody's Golf VR,Clap Hanz,Sony Interactive Entertainment,"VR, Arcade, Golf, Sports",Everyone
https://www.gamespot.com/games/team-sonic-racing/,Team Sonic Racing,"May 21, 2019","iOS (iPhone/iPad), Nintendo Switch, PC, PlayStation 4, Xbox One",Team Sonic Racing,"Hardlight Studio, Sumo Digital","Sega, Koch Media","Arcade, Driving/Racing",Everyone
https://www.gamespot.com/games/metro-exodus/,Metro Exodus,"Feb 15, 2019","Linux, Macintosh, PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series X",The latest installment in the post-apocalyptic first-person shooter from 4A Games shoots to thrill on Xbox One.,4A Games,"Deep Silver, Square Enix, Spike Chunsoft, Microsoft","First-Person, Shooter, 3D, Action",Mature
https://www.gamespot.com/games/whispers-of-a-machine/,Whispers of a Machine,"Apr 17, 2019","Android, iOS (iPhone/iPad), Macintosh, PC",Whispers of a Machine,Clifftop Games,Raw Fury,Adventure,
https://www.gamespot.com/games/darkwood/,Darkwood,"Jul 24, 2014","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Stadia, Xbox One",,Acid Wizard Studio,"Acid Wizard Studio, Crunching Koalas, Nippon Ichi Software, Super Rare Games","Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/rage-2/,RAGE 2,"May 13, 2019","PC, PlayStation 4, Stadia, Xbox One","Introducing RAGE 2, a new first-person shooterverse!","Avalanche Studios, id Software","Bethesda Softworks, H2 Interactive Co., Ltd.","3D, Action, First-Person, Shooter",Mature
https://www.gamespot.com/games/life-is-strange-2/,Life is Strange 2,"Sep 26, 2018","Linux, Macintosh, PC, PlayStation 4, Xbox One",,DONTNOD Entertainment,"Square Enix, DONTNOD Entertainment","Action, Adventure",Mature
https://www.gamespot.com/games/world-war-z/,World War Z,"Apr 16, 2019","Nintendo Switch, PC, PlayStation 4, Xbox One",World War Z,Saber Interactive,"Saber Interactive, H2 Interactive Co., Ltd., Focus Home Interactive, MAD DOG GAMES LLC, Five Star Games","Action, Shooter, Tactical, Third-Person",Mature
https://www.gamespot.com/games/giga-wrecker/,Giga Wrecker,"Aug 18, 2016","Nintendo Switch, PC, PlayStation 4, Xbox One",,Game Freak,"Rising Star Games, Limited Run Games, Game Freak","Action, 2D, Platformer",Teen
https://www.gamespot.com/games/yakuza-2/,Yakuza 2,"Sep 9, 2008","PC, PlayStation 2, PlayStation 4, Xbox One",Yakuza 2 plunges you into the violent Japanese underworld in this free-roaming adventure game.,"Ryu ga Gotoku Studios, Amusement Vision","Sega, Sega Europe","Adventure, Action",Mature
https://www.gamespot.com/games/boxboy-plus-boxgirl/,BoxBoy! + BoxGirl!,"Apr 26, 2019",Nintendo Switch,,HAL Labs,Nintendo,"Puzzle, Action",Everyone
https://www.gamespot.com/games/steamworld-quest-hand-of-gilgamech/,SteamWorld Quest: Hand of Gilgamech,"Apr 25, 2019","iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, Stadia",,Image & Form,"Image & Form, Thunderful, Flyhigh Works, Super Rare Games",Card Game,Everyone
https://www.gamespot.com/games/katana-zero/,Katana ZERO,"Apr 17, 2019","Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,"Askiisoft, Devolver Digital","Devolver Digital, Limited Run Games","2D, Action, Platformer",Mature
https://www.gamespot.com/games/cuphead/,Cuphead,"Sep 29, 2017","Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",Cuphead is a classic run and gun action game heavily focused on boss battles.,Studio MDHR,"Studio MDHR, Microsoft","Action, Platformer, 2D",Everyone 10+
https://www.gamespot.com/games/falcon-age/,Falcon Age,"Apr 9, 2019","Nintendo Switch, PC, PlayStation 4","The game starts on a dying colony planet with its culture destroyed, resources depleted, and turned into a desert by machine invaders. Ara’s been wrongfully thrown in jail for a minor infraction. While she awaits her fate in a lonely cell, she passes the time by befriending a young falcon. Together they escape and set off on an adventure to help the resistance reclaim their freedom and drive off the invaders.",Outerloop Games,Outerloop Games,"VR, Adventure, Action",Everyone 10+
https://www.gamespot.com/games/pathway/,Pathway,"Apr 11, 2019","Linux, Macintosh, Nintendo Switch, PC",,Robotality,"Chucklefish, Limited Run Games","Strategy, Turn-Based",Everyone 10+
https://www.gamespot.com/games/heavens-vault/,Heaven's Vault,"Apr 16, 2019","Macintosh, Nintendo Switch, PC, PlayStation 4",,inkle,inkle,Adventure,
https://www.gamespot.com/games/my-time-at-portia/,My Time At Portia,"Jan 15, 2019","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,"Nuverse, Nuverse (Hong Kong) Limited, Pathea Games","Nuverse, Nuverse (Hong Kong) Limited, Team 17, Game Source Entertainment, Sold Out, Pathea Games, Chorus Worldwide",Simulation,Everyone 10+
https://www.gamespot.com/games/nintendo-labo-toycon-04-vr-kit/,Nintendo Labo: Toycon 04 VR Kit,"May 12, 2019",Nintendo Switch,,Nintendo,Nintendo,Action,Everyone 10+
https://www.gamespot.com/games/dangerous-driving/,Dangerous Driving,"Apr 9, 2019","PC, PlayStation 4, Xbox One",,Three Fields Entertainment,"Three Fields Entertainment, Maximum Games","Arcade, Driving/Racing",Everyone 10+
https://www.gamespot.com/games/zanki-zero-last-beginning/,Zanki Zero: Last Beginning,"Apr 9, 2019","PC, PlayStation 4, PlayStation Vita",,Spike Chunsoft,"Spike Chunsoft, Ravenscourt",Role-Playing,Mature
https://www.gamespot.com/games/mlb-the-show-19/,MLB The Show 19,"Mar 26, 2019",PlayStation 4,,Sony Interactive Entertainment,Sony Interactive Entertainment,"Sports, Team-Based, Baseball, Simulation",Everyone
https://www.gamespot.com/games/tropico-6/,Tropico 6,"Mar 29, 2019","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X","In times of political turmoil and social unrest, the people are calling out for a visionary leader, one who will steer the fate of their country with foresight and ingenuity. Will you answer that call?","Limbic Entertainment, Realmforge Studios, Kalypso","Kalypso, Square Enix","Strategy, Management",Teen
https://www.gamespot.com/games/tom-clancys-the-division-2/,Tom Clancy's The Division 2,"Mar 12, 2019","PC, PlayStation 4, Stadia, Xbox One",Time to team up and save D.C. in Tom Clancy's The Division 2.,Massive Entertainment,"Massive Entertainment, Ubisoft","Tactical, Third-Person, Action, Shooter",Mature
https://www.gamespot.com/games/the-world-next-door/,The World Next Door,"Mar 27, 2019","Macintosh, Nintendo Switch, PC",,Rose City Games,VIZ Media,"Action, Adventure",Teen
https://www.gamespot.com/games/operencia-the-stolen-sun/,Operencia: The Stolen Sun,"Mar 29, 2019","Nintendo Switch, PC, PlayStation 4, Xbox One",,Zen Studios,Zen Studios,"Role-Playing, Action",Teen
https://www.gamespot.com/games/sekiro-shadows-die-twice/,Sekiro: Shadows Die Twice,"Mar 22, 2019","PC, PlayStation 4, Stadia, Xbox One","Directed by Hidetaka Miyazaki, Sekiro: Shadows Die Twice is a third-person, action-adventure game with RPG elements.",From Software,"Activision, From Software","Adventure, Action",Mature
https://www.gamespot.com/games/the-walking-dead-the-telltale-series-the-final/,The Walking Dead: The Telltale Series - The Final Season,"Aug 13, 2018","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,"Telltale Games, Skybound LLC","Telltale Games, Skybound LLC",Adventure,Mature
https://www.gamespot.com/games/yoshis-crafted-world/,Yoshi's Crafted World,"Mar 28, 2019",Nintendo Switch,"An original game for Nintendo Switch, Yoshi must explore two-sided stages that you need to swap between in order to complete.",Good-Feel,Nintendo,"Action, 3D, Platformer",Everyone
https://www.gamespot.com/games/hypnospace-outlaw/,Hypnospace Outlaw,"Mar 12, 2019","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Tendershoot,"No More Robots, Fangamer",Adventure,Teen
https://www.gamespot.com/games/baba-is-you/,Baba Is You,"Mar 13, 2019","Android, iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC",,"Hempuli Oy, MP2 Games","Hempuli Oy, Fangamer","Puzzle, Action",Everyone
https://www.gamespot.com/games/ethereal/,ETHEREAL,"Mar 7, 2019","Macintosh, PC",,Nicolas Recabarren,Nonsense Arts,Puzzle,
https://www.gamespot.com/games/left-alive/,Left Alive,"Mar 5, 2019","PC, PlayStation 4",,"Square Enix, ilinx inc.",Square Enix,"Action, Adventure",Mature
https://www.gamespot.com/games/objects-in-space/,Objects in Space,"Jun 21, 2018","Linux, Macintosh, PC",,Flat Earth Games,"505 Games, Flat Earth Games",Simulation,
https://www.gamespot.com/games/toejam-and-earl-back-in-the-groove/,ToeJam & Earl: Back in the Groove!,"Feb 15, 2019","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One","Toejam and Earl is back and goin' indie, and old skool like GAME ONE, with a fun retro-comics style, and plenty of funk.","Humanature Studios, 22nd Century Toys","Humanature Studios, Limited Run Games","Action, Platformer, 2D",Everyone 10+
https://www.gamespot.com/games/assault-android-cactus/,Assault Android Cactus,"Aug 28, 2013","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",Assault Android Cactus is an intense arcade style twin stick shooter - pick from one of nine unique synthetic heroines and blast your way through overwhelming robots hordes to save the ship from its own workforce. Supports single player and local co-op game modes.,Witch Beam,"Witch Beam, Playism, Super Rare Games","2D, Action, Fixed-Screen, Shooter",Everyone 10+
https://www.gamespot.com/games/ape-out/,Ape Out,"Feb 28, 2019","Macintosh, Nintendo Switch, PC, Xbox One",,Gabe Cuzzillo,"Devolver Digital, Special Reserve Games","Shooter, 2D, Action, Fixed-Screen",Teen
https://www.gamespot.com/games/kirbys-epic-yarn/,Kirby's Epic Yarn,"Oct 17, 2010","3DS, Wii",Kirby busts out his yarn in the latest epic adventure.,Good-Feel,Nintendo,"2D, Platformer, Action",Everyone
https://www.gamespot.com/games/dead-or-alive-6/,Dead or Alive 6,"Mar 1, 2019","Arcade Games, PC, PlayStation 4, Xbox One",,Team Ninja,"Koei Tecmo Games, Digital Touch","Fighting, 3D, Action",Mature
https://www.gamespot.com/games/the-occupation/,The Occupation,"Mar 5, 2019","PC, PlayStation 4, Xbox One",,White Paper Games,"Humble, Humble Games, Sold Out","3D, Adventure, First-Person",Teen
https://www.gamespot.com/games/far-cry-new-dawn/,Far Cry New Dawn,"Feb 15, 2019","PC, PlayStation 4, Stadia, Xbox One",,Ubisoft Montreal,Ubisoft,"3D, Action, First-Person, Shooter",Mature
https://www.gamespot.com/games/sid-meiers-civilization-vi/,Sid Meier's Civilization VI,"Oct 20, 2016","iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",Sid Meier’s Civilization VI is a turn-based strategy game in which you attempt to build an empire to stand the test of time.,"Aspyr, Firaxis Games","Aspyr, 2K Games, Take-Two Interactive","Strategy, Turn-Based",Everyone 10+
https://www.gamespot.com/games/eastshade/,Eastshade,"Feb 13, 2019","Linux, Macintosh, PC, PlayStation 4, Xbox One",,Eastshade Studios,Eastshade Studios,"Adventure, First-Person, 3D",Everyone 10+
https://www.gamespot.com/games/trials-rising/,Trials Rising,"Feb 26, 2019","Nintendo Switch, PC, PlayStation 4, Stadia, Xbox One","Explore over-the-top action and physics-bending motorcycle racing in the latest opus of the Trials franchise. With new tracks in exotic places all over the world and more ways to compete, Trials® Rising is the best one yet.",RedLynx,Ubisoft,"Driving/Racing, Arcade",Teen
https://www.gamespot.com/games/anthem/,Anthem,"Feb 15, 2019","PC, PlayStation 4, Xbox One","In Anthem, a new game from EA's BioWare studio, explore a landscape of primeval beauty, confront the dangers you find, and grow in power with every step.",BioWare,Electronic Arts,"Action, Role-Playing",Teen
https://www.gamespot.com/games/tetris-99/,Tetris 99,"Feb 13, 2019",Nintendo Switch,,Arika,Nintendo,"Matching/Stacking, Puzzle",Everyone
https://www.gamespot.com/games/crackdown-3/,Crackdown 3,"Feb 15, 2019","PC, Xbox One","Developed by original creator Dave Jones, Crackdown on Xbox One will deliver unrivaled verticality, cooperative mayhem, and destruction.","Elbow Rocket, Sumo Digital",Microsoft Game Studios,"Action, Adventure",Mature
https://www.gamespot.com/games/jump-force/,Jump Force,"Feb 12, 2019","Nintendo Switch, PC, PlayStation 4, Xbox One",,Spike Chunsoft,Bandai Namco Games,"Fighting, Action, 3D",Teen
https://www.gamespot.com/games/yo-kai-watch-3-tempura/,Yo-kai Watch 3,"Feb 8, 2019",3DS,,Level 5,"Level 5, Nintendo","Role-Playing, Management",Everyone 10+
https://www.gamespot.com/games/yakuza/,Yakuza,"Sep 5, 2006","PC, PlayStation 2, PlayStation 3, PlayStation 4, Xbox One","This action-adventure title for the PS2, known as Ryu ga Gotoku in Japan, features a storyline by award-winning novelist Hase Seishu about brutal Japanese criminals.","Lab42, Amusement Vision, Ryu ga Gotoku Studios","Sega, Deep Silver, Sony Interactive Entertainment","Adventure, Action",Mature
https://www.gamespot.com/games/god-eater-3/,God Eater 3,"Feb 8, 2019","Nintendo Switch, PC, PlayStation 4",,Marvelous First Studio,Bandai Namco Games,"Role-Playing, Action",Teen
https://www.gamespot.com/games/astroneer/,ASTRONEER,"Dec 15, 2016","Nintendo Switch, PC, PlayStation 4, Xbox One",,System Era Softworks,"System Era Softworks, Playism, Gearbox Software, Gearbox Publishing","Action, Adventure",Everyone
https://www.gamespot.com/games/dragon-marked-for-death/,Dragon Marked For Death,"Mar 26, 2019","Nintendo Switch, PC, PlayStation 4",,Inti,"Inti, Nighthawk Interactive","Role-Playing, Action",Teen
https://www.gamespot.com/games/sunless-skies/,Sunless Skies,"Aug 30, 2017","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Failbetter Games,"Failbetter Games, Digerati Distribution","Adventure, Action",
https://www.gamespot.com/games/wargroove/,Wargroove,"Feb 1, 2019","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Chucklefish,"Chucklefish, Sold Out","Turn-Based, Strategy",Everyone 10+
https://www.gamespot.com/games/etrian-odyssey-nexus/,Etrian Odyssey Nexus,"Feb 5, 2019",3DS,,ATLUS,"Deep Silver, ATLUS, Sega",Role-Playing,Teen
https://www.gamespot.com/games/jon-shafers-at-the-gates/,Jon Shafer's At the Gates,"Jan 23, 2019","Linux, Macintosh, PC",,Conifer Games,Conifer Games,"Strategy, Turn-Based",
https://www.gamespot.com/games/the-hong-kong-massacre/,The Hong Kong Massacre,"Jan 22, 2019","Nintendo Switch, PC, PlayStation 4",,VRESKI,"Untold Tales, Soft Source Pte Ltd, Captain Rouge, VRESKI","Shooter, 2D, Action, Fixed-Screen",Mature
https://www.gamespot.com/games/downwell/,Downwell,"Oct 15, 2015","Android, iOS (iPhone/iPad), Nintendo Switch, PC, PlayStation 4, PlayStation Vita",Downwell is a 2015 vertically scrolling shooter roguelike platform video game in development by Japan-based indie developer Moppin and published by Devolver Digital.,Moppin,"Moppin, Devolver Digital, Special Reserve Games",Action,Everyone 10+
https://www.gamespot.com/games/mages-initiation/,Mage's Initiation,Unknown Release Date,PC,"Mage's Initiation is an adventure role-playing fantasy game hybrid that features multiple playable character classes, spell-casting, and an open-field magical combat system, complete with equippable items and monster loot drops.",Himalaya Studios,Himalaya Studios,Role-Playing,Rating Pending
https://www.gamespot.com/games/kingdom-hearts-iii/,Kingdom Hearts III,"Jan 29, 2019","Nintendo Switch, PC, PlayStation 4, Xbox One","Kingdom Hearts III features a mature Sora as the main protagonist who sets forth on an adventure with Mickey, Donald and Goofy through new and legendary Disney worlds.",Square Enix,"Square Enix, Sony Interactive Entertainment","Role-Playing, Action",Everyone 10+
https://www.gamespot.com/games/pikuniku/,Pikuniku,"Jan 24, 2019","Linux, Macintosh, Nintendo Switch, PC, Stadia, Xbox One",,"Arnaud De Bock, 22nd Century Toys, Sectordub","Devolver Digital, Special Reserve Games","Action, Puzzle",Everyone
https://www.gamespot.com/games/genesis-alpha-one/,Genesis Alpha One,"Jan 29, 2019","PC, PlayStation 4, Xbox One","Genesis Alpha One mixes thrilling roguelike mechanics with a deep ship builder and fast first-person action, putting you in the role of an interstellar pioneer.",Radiation Blue,"Team 17, Sold Out","Shooter, 3D, Action, First-Person",Mature
https://www.gamespot.com/games/resident-evil-2/,Resident Evil 2,"Jan 25, 2019","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",Capcom is remaking PlayStation One survival-horror classic Resident Evil 2 for modern consoles.,"Capcom R&D Division 1, Capcom",Capcom,"3D, Action, Adventure, Survival",Mature
https://www.gamespot.com/games/life-is-strange-2/,Life is Strange 2,"Sep 26, 2018","Linux, Macintosh, PC, PlayStation 4, Xbox One",,DONTNOD Entertainment,"Square Enix, DONTNOD Entertainment","Action, Adventure",Mature
https://www.gamespot.com/games/mario-and-luigi-bowsers-inside-story/,Mario & Luigi: Bowser's Inside Story,"Sep 14, 2009","3DS, DS",The acclaimed Mario & Luigi series returns with another hilarious action role-playing game. Join the Mario Bros. as their travels take them far and wide.,Alphadream Corporation,Nintendo,Role-Playing,Everyone
https://www.gamespot.com/games/the-walking-dead-the-telltale-series-the-final/,The Walking Dead: The Telltale Series - The Final Season,"Aug 13, 2018","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,"Telltale Games, Skybound LLC","Telltale Games, Skybound LLC",Adventure,Mature
https://www.gamespot.com/games/yiik-a-postmodern-rpg/,YIIK: A Postmodern RPG,"Jan 17, 2019","Macintosh, Nintendo Switch, PC, PlayStation 4, PlayStation Vita",,Ackkstudios,"Ysbryd Games, Ackkstudios, Ysbryd Games Worldwide Limited, Limited Run Games",Role-Playing,Mature
https://www.gamespot.com/games/double-cross/,Double Cross,"Jan 10, 2019","Nintendo Switch, PC, Xbox One",,13AM Games,"Headup Games, Graffiti Games, Teyon, 13AM Games","Action, 2D, Platformer",Everyone 10+
https://www.gamespot.com/games/vane/,Vane,"Jan 15, 2019","PC, PlayStation 4","Vane is an atmospheric adventure about unraveling the secrets of an unknown land, finding your place in it, and pulling at the threads of the world to make a change. The shifting sands glimmer with meaning, ancient ruins resonate with power, but in the distance a billowing threat looms. Find your way.",Friend & Foe,Friend & Foe,Adventure,Everyone 10+
https://www.gamespot.com/games/the-eternal-castle-remastered/,The Eternal Castle Remastered,"Jan 5, 2019","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4",,"Leonard Menchiari, TFL Studios, SEVERED PRESS PTY LTD","Playsaurus, TFL Studios, SEVERED PRESS PTY LTD",Adventure,Everyone 10+
https://www.gamespot.com/games/new-super-mario-bros-u/,New Super Mario Bros. U,"Nov 18, 2012","Nintendo Switch, Wii U",New Super Mario Bros. U is a new side-scrolling adventure that introduces new transformations for Mario and the ability for players to play as their Mii characters.,Nintendo,Nintendo,"Platformer, Action, 2D",Everyone
https://www.gamespot.com/games/below/,Below,"Dec 14, 2018","PC, PlayStation 4, Xbox One","Below is a classic rogue tale where you'll scour the open world in search of rare and special loot while battling the malevolent Darkness, an AI-controlled character which uses Kinect to sense and change level progression based on the rooms surroundings.",Capybara Games,"Capybara Games, Microsoft Game Studios","Action, Adventure",Teen
https://www.gamespot.com/games/bury-me-my-love/,"Bury me, my Love","Oct 25, 2017","iOS (iPhone/iPad), Nintendo Switch, PC",,"Plug In Digital, The Pixel Hunt","Plug In Digital, Playdius",Adventure,Everyone 10+
https://www.gamespot.com/games/battle-princess-madelyn/,Battle Princess Madelyn,"Dec 5, 2018","Nintendo Switch, PC, PlayStation 4, Xbox One",,Causal Bit Games,"Causal Bit Games, Limited Run Games, 3goo","Action, 2D, Platformer",Everyone 10+
https://www.gamespot.com/games/super-smash-bros-ultimate/,Super Smash Bros. Ultimate,"Dec 7, 2018",Nintendo Switch,Super Smash Bros heads to the Nintendo Switch making it one of the most anticipated games of the year.,"Nintendo, Sora Ltd.",Nintendo,"Action, 2D, Fighting",Everyone 10+
https://www.gamespot.com/games/gris/,GRIS,"Dec 13, 2018","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, PC, PlayStation 4",,"Devolver Digital, Nomada Studio","Devolver Digital, Special Reserve Games, Limited Run Games","2D, Action, Platformer",Everyone
https://www.gamespot.com/games/monster-boy-and-the-cursed-kingdom/,Monster Boy and the Cursed Kingdom,"Dec 4, 2018","Nintendo Switch, PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series X",,FDG Entertainment,"FDG Entertainment, Arc System Works","Platformer, Action, Metroidvania",Everyone 10+
https://www.gamespot.com/games/thronebreaker-the-witcher-tales/,Thronebreaker: The Witcher Tales,"Nov 9, 2018","iOS (iPhone/iPad), Nintendo Switch, PC, PlayStation 4, Xbox One",,"CD Projekt RED S.A., CD Projekt Red Studio","CD Projekt RED S.A., CD Projekt Red Studio",Card Game,Teen
https://www.gamespot.com/games/desert-child/,Desert Child,"Dec 11, 2018","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Oscar Brittain,"Akupara Games, Limited Run Games","Arcade, Driving/Racing",Mature
https://www.gamespot.com/games/earth-defense-force-5/,Earth Defense Force 5,"Dec 11, 2018","PC, PlayStation 4",,Sandlot,"D3Publisher, PQube","3D, Action, Shooter, Third-Person",Teen
https://www.gamespot.com/games/ashen/,Ashen,"Dec 6, 2018","Nintendo Switch, PC, PlayStation 4, Xbox One",Ashen is an action RPG about a wanderer in search of a place to call home. There is no sun and the natural light that exists comes from eruptions that cover the land in ash.,Aurora44,Annapurna Interactive,"Adventure, Action",Teen
https://www.gamespot.com/games/artifact/,Artifact,"Nov 28, 2018","Linux, Macintosh, PC",,Valve Software,Valve Software,Card Game,
https://www.gamespot.com/games/just-cause-4/,Just Cause 4,"Dec 4, 2018","PC, PlayStation 4, Xbox One",It's time to bring the thunder. Just Cause 4 by Avalanche Studios and Square Enix is coming to Xbox One this winter.,Avalanche Studios,"Square Enix, Stardock","Action, Adventure",Mature
https://www.gamespot.com/games/big-bash-boom/,Big Bash Boom,"Nov 29, 2018","Nintendo Switch, PC, PlayStation 4, Xbox One",,Big Ant Studios,Big Ant Studios,"Team-Based, Cricket, Sports",Everyone
https://www.gamespot.com/games/cosmic-top-secret/,Cosmic Top Secret,"Nov 15, 2018","Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Klassefilm,"Klassefilm, Nakana.io","Adventure, Third-Person, 3D",
https://www.gamespot.com/games/darksiders-iii/,Darksiders III,"Nov 27, 2018","Nintendo Switch, PC, PlayStation 4, Stadia, Xbox One",,Gunfire Games,THQ Nordic,"Action, Adventure",Mature
https://www.gamespot.com/games/persona-5-dancing-in-starlight/,Persona 5: Dancing in Starlight,"Dec 4, 2018","PlayStation 4, PlayStation Vita",Persona 5: Dancing Star Night is an upcoming rhythm game for the PlayStation 4 and PlayStation Vita.,ATLUS,"ATLUS, Deep Silver","Music/Rhythm, VR",Teen
https://www.gamespot.com/games/persona-3-dancing-in-moonlight/,Persona 3: Dancing in Moonlight,"Dec 4, 2018","PlayStation 4, PlayStation Vita",Persona 3: Dancing Moon Night is a rhythm game for the PlayStation 4 and PlayStation Vita.,ATLUS,"ATLUS, Deep Silver, Sega","Music/Rhythm, VR",Teen
https://www.gamespot.com/games/beat-saber/,Beat Saber,"May 1, 2018","Oculus Quest, PC, PlayStation 4",,"Beat Games, Hyperbolic Magnetism","Beat Games, Hyperbolic Magnetism, Beat Games s.r.o.","Music/Rhythm, VR",Everyone
https://www.gamespot.com/games/nidhogg-2/,Nidhogg 2,"Aug 15, 2017","Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,Messhof,"Messhof, Nippon Ichi Software",Action,Teen
https://www.gamespot.com/games/hitman-2/,Hitman 2,"Nov 9, 2018","PC, PlayStation 4, Stadia, Xbox One",,"Io Interactive, Warner Bros. Interactive Entertainment","Warner Bros. Interactive Entertainment, Io Interactive","Adventure, Action",Mature
https://www.gamespot.com/games/fallout-76/,Fallout 76,"Nov 14, 2018","PC, PlayStation 4, Xbox One",The newest installment of Fallout enters you into the world on Reclamation Day in a post-nuclear America.,Bethesda Game Studios,Bethesda Softworks,Role-Playing,Mature
https://www.gamespot.com/games/underworld-ascendant/,Underworld Ascendant,"Nov 15, 2018","Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One",,OtherSide Entertainment,"OtherSide Entertainment, 505 Games",Role-Playing,Teen
