url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/2010-fifa-world-cup-south-africa/,2010 FIFA World Cup South Africa,"Apr 26, 2010","iOS (iPhone/iPad), PlayStation 3, PSP, Wii, Xbox 360",FIFA World Cup returns with World Cup South Africa featuring all 199 national teams and 10 official licensed stadiums.,"Electronic Arts, EA Canada",EA Sports,"Team-Based, Simulation, Soccer, Sports",Everyone
https://www.gamespot.com/games/red-dead-redemption/,Red Dead Redemption,"May 18, 2010","PlayStation 3, Xbox 360",Red Dead Redemption is a third-person open-world adventure featuring reformed outlaw John Marston who is on a quest to save his family.,Rockstar San Diego,"Take-Two Interactive, Rockstar Games, Rockstar San Diego","Adventure, Action",Mature
https://www.gamespot.com/games/red-dead-redemption/,Red Dead Redemption,"May 18, 2010","PlayStation 3, Xbox 360",Red Dead Redemption is a third-person open-world adventure featuring reformed outlaw John Marston who is on a quest to save his family.,Rockstar San Diego,"Rockstar Games, Rockstar San Diego, Take-Two Interactive","Adventure, Action",Mature
https://www.gamespot.com/games/dementium-ii/,Dementium II,"May 4, 2010","DS, Macintosh, PC",Horror returns to the Nintendo DS in Dementium II.,"Renegade Kid, Memetic Games","SouthPeak Games, Intergrow, Digital Tribe","Adventure, Survival, 3D, Action",Mature
https://www.gamespot.com/games/prince-of-persia-the-forgotten-sands/,Prince of Persia: The Forgotten Sands,"May 17, 2010","DS, PC, PlayStation 3, PSP, Wii, Xbox 360","The newest Prince of Persia game returns to the Sands of Time timeline, and will be released in conjunction with the live-action film next year.","Ubisoft Casablanca, Ubisoft Montreal, Ubisoft Quebec","Ubisoft, Mastertronic","Action, Adventure",Teen
https://www.gamespot.com/games/prince-of-persia-the-forgotten-sands/,Prince of Persia: The Forgotten Sands,"May 17, 2010","DS, PC, PlayStation 3, PSP, Wii, Xbox 360","The newest Prince of Persia game returns to the Sands of Time timeline, and will be released in conjunction with the live-action film next year.","Ubisoft Casablanca, Ubisoft Montreal, Ubisoft Quebec","Ubisoft, Mastertronic","Adventure, Action",Teen
https://www.gamespot.com/games/word-ace/,Word Ace,"Aug 6, 2009","iOS (iPhone/iPad), Palm webOS",,Self Aware Games,Self Aware Games,Miscellaneous,
https://www.gamespot.com/games/soul-of-darkness/,Soul of Darkness,2008,"BlackBerry, DS, Mobile, Windows Mobile","As Kale, try to save your beloved's life from an evil vampire.",Gameloft,Gameloft,Adventure,Teen
https://www.gamespot.com/games/jewellust/,Jewellust,"Sep 15, 2009",Android,,Smartpix,Smartpix,"Matching/Stacking, Puzzle",
https://www.gamespot.com/games/hook-champ/,Hook Champ,"Oct 4, 2009",iOS (iPhone/iPad),,Rocketcat Games,Rocketcat Games,Action,
