url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/bionicle/,Bionicle,"Oct 20, 2003","GameCube, Macintosh, PC, PlayStation 2, Xbox",All the wonder of the Bionicle universe has been bled dry by a vapid design and an atrocious camera system.,Argonaut Games,"Lego Media, Feral Interactive, Electronic Arts","Action, Platformer, 3D",Everyone
https://www.gamespot.com/games/james-bond-007-everything-or-nothing/,James Bond 007: Everything or Nothing,"Nov 17, 2003","Game Boy Advance, GameCube, PlayStation 2, Xbox",Everything or Nothing is a really great game--perhaps the best James Bond game ever made.,"Griptonite Games, EA Redwood Shores","EA Games, Electronic Arts","Action, Adventure",Teen
https://www.gamespot.com/games/hot-wheels-world-race/,Hot Wheels: World Race,"Oct 29, 2003","Game Boy Advance, GameCube, PC, PlayStation 2",This arcade-style racer will let you race Hot Wheels cars on futuristic tracks.,"Climax Group, THQ",THQ,"Driving/Racing, Arcade",Everyone
https://www.gamespot.com/games/corvette/,Corvette,"Nov 11, 2003","Game Boy Advance, PC, PlayStation 2, Xbox","When you get right down to it, Corvette is a difficult title to recommend to even the most devout Corvette enthusiast.","Visual Impact, Steel Monkeys","TDK Mediactive, Global Star Software","Driving/Racing, Simulation",Everyone
https://www.gamespot.com/games/samurai-jack-the-shadow-of-aku/,Samurai Jack: The Shadow of Aku,"Mar 24, 2004","GameCube, PlayStation 2","The only remarkable thing about Samurai Jack is how utterly unremarkable it is, and that's certainly not a good reason to play this game.",Adrenium,Sega,"Action, Adventure",Teen
https://www.gamespot.com/games/tenchu-return-from-darkness/,Tenchu: Return From Darkness,"Mar 10, 2004",Xbox,"If you've never played the PS2 version and have a hankering for some more ninja action, Tenchu: Return From Darkness will do you right.",K2 LLC,"Activision, From Software","Adventure, Action",Mature
https://www.gamespot.com/games/pax-romana/,Pax Romana,"Nov 6, 2003",PC,"There's little reward for all the indirect management you have to deal with, and the terrible interface sabotages the whole affair.",Galilea Multimedia,DreamCatcher Interactive,"Turn-Based, Strategy",Teen
https://www.gamespot.com/games/romance-of-the-three-kingdoms-ix/,Romance of the Three Kingdoms IX,"Feb 24, 2004","PC, PlayStation 2, PSP","Romance IX is more of what you already love--that is, assuming you loved it to begin with.","Koei Tecmo Games, Koei","Koei Tecmo Games, Koei","Strategy, Turn-Based",Everyone
https://www.gamespot.com/games/mvp-baseball-2004/,MVP Baseball 2004,"Mar 9, 2004","GameCube, PC, PlayStation 2, Xbox","The core fundamentals are spot-on, the variety of options and control choices is spectacular, and the presentation totally draws you into the experience.",EA Sports,EA Sports,"Simulation, Sports, Team-Based, Baseball",Everyone
https://www.gamespot.com/games/espn-major-league-baseball/,ESPN Major League Baseball,"Apr 6, 2004","PlayStation 2, Xbox","Some aspects of ESPN Major League Baseball may look sloppy, but the game is great where it matters most.",Blue Shift,Sega,"Simulation, Sports, Team-Based, Baseball",Everyone
https://www.gamespot.com/games/a-quiet-weekend-in-capri/,A Quiet Weekend in Capri,"Mar 17, 2004",PC,Capri certainly seems to be an enchanting island. It's too bad you don't get an adventure to match it.,Silvio & Gey Savarese,"Adventures Planet SRL, Oxiana Edizione, Got Game Entertainment","3D, Adventure, Third-Person",Everyone
https://www.gamespot.com/games/future-tactics-the-uprising/,Future Tactics: The Uprising,"May 10, 2004","GameCube, PC, PlayStation 2, Xbox","It's an intriguing experiment that ultimately suffers from shallow, simplistic gameplay and an uninvolving story mode rife with bland characters.","Zed Two Limited, Warthog","JoWooD Entertainment AG, Crave","Strategy, Turn-Based",Teen
https://www.gamespot.com/games/yu-gi-oh-world-championship-tournament-2004/,Yu-Gi-Oh! World Championship Tournament 2004,"Feb 10, 2004",Game Boy Advance,"Yu-Gi-Oh! World Championship Tournament 2004, is pure, uncompromised card battling, and it's probably one of the best Yu-Gi-Oh! games to come out on any platform.",KCEJ,Konami,Card Game,Everyone
https://www.gamespot.com/games/total-pro-basketball/,Total Pro Basketball,December 2003,PC,Total Pro Basketball boasts a solid interface and a wide breadth of duties to keep general managers busy from opening tip-off to summertime free agency.,.400 Software Studios,.400 Software Studios,"Simulation, Sports, Team-Based, Basketball",
https://www.gamespot.com/games/beyond-the-law-the-third-wave/,Beyond the Law: The Third Wave,"Apr 2, 2004",PC,There's really no reason anyone should play Beyond the Law: The Third Wave.,Magnum Games,Magnum Games,"Tactical, Third-Person, Action, Shooter",Teen
https://www.gamespot.com/games/out-of-the-park-baseball-6/,Out of the Park Baseball 6,"Apr 16, 2004",PC,"Out of the Park Baseball 6 may look a lot like its predecessors, but many new features give the game an unmatched feeling of authenticity.",Out Of The Park Developments,Out Of The Park Developments,"Simulation, Sports, Team-Based, Baseball",
https://www.gamespot.com/games/echelon/,Echelon,"May 16, 2001",PC,"In spite of its problems, Echelon does hit close enough to the mark to offer some fast and flashy, but ultimately shallow, thrills.",Buka Entertainment,"Bethesda Softworks, Buka Entertainment, Oxygen Interactive, Encore Software, Inc.","Simulation, Flight",Everyone
https://www.gamespot.com/games/tom-clancys-rainbow-six-3/,Tom Clancy's Rainbow Six 3,"Nov 12, 2003","GameCube, Mobile, PlayStation 2, Xbox",The single-player and multiplayer portions of Rainbow Six 3 combine to make this a great game that's easily recommended to Xbox owners looking for a realistic shooter.,"Ubisoft Shanghai, Gameloft, Ubisoft","Ubisoft, Gameloft","First-Person, Shooter, Tactical, Action",Mature
https://www.gamespot.com/games/crusader-kings/,Crusader Kings,"Sep 28, 2004","Macintosh, PC","While casual gamers will feel overwhelmed, anyone with a love of history will appreciate Crusader Kings' rigorous attention to detail and epic scope.",Paradox Development Studio,"Virtual Programming, CyberFront, Paradox Interactive","Real-Time, Strategy",Everyone
https://www.gamespot.com/games/army-men-sarges-war/,Army Men: Sarge's War,"Jul 27, 2004","GameCube, PC, PlayStation 2, Xbox","After playing through Army Men: Sarge's War, it's likely that you'll find yourself wondering why anyone bothered to salvage the Army Men license at all.","3DO, Tactical Development","Global Star Software, Take-Two Interactive","Third-Person, 3D, Action, Shooter",Teen
https://www.gamespot.com/games/tony-hawks-pro-skater-4/,Tony Hawk's Pro Skater 4,"Oct 23, 2002","Game Boy Advance, GameCube, Macintosh, Mobile, PC, PlayStation, PlayStation 2, Xbox, Zodiac",Anyone with even a remote interest in either the genre or the real-life sport should purchase this game as soon as possible.,"Vicarious Visions, Neversoft Entertainment, Beenox, Semi Logic Entertainments, Inc.","Activision, Aspyr, Jamdat Mobile, Capcom, Tapwave","Sports, Skateboarding/Skating",Teen
https://www.gamespot.com/games/the-legend-of-zelda/,The Legend of Zelda,"Aug 22, 1987","Famicom Disk System, Game Boy Advance, NES","The Legend of Zelda is a top-down, action RPG for the NES, and the first game in one of the biggest series of all time.",Nintendo,"Nintendo, Playtronic, Hyundai Electronics","Action, Adventure",Everyone
https://www.gamespot.com/games/freestyle-street-soccer/,Urban Freestyle Soccer,"Mar 25, 2004","GameCube, Mobile, PlayStation 2, Xbox","While games like EA's Street series and NBA Ballers have proven that street sports can be done right in video games, Freestyle Street Soccer proves that you can also do them very, very wrong.","Gusto Games, Silicon Dreams",Acclaim,"Soccer, Sports, Team-Based, Arcade",Teen
https://www.gamespot.com/games/tiger-woods-pga-tour-2004/,Tiger Woods PGA Tour 2004,"Jul 14, 2003","Game Boy Advance, GameCube, Mobile, N-Gage, PC, PlayStation 2, Xbox","Even if EA Sports had left every other aspect of the game identical to Tiger Woods 2003, the staggering number of new, playable courses alone makes 2004 worthwhile.","Backbone Emeryville, EA Sports, I-Play, Headgate","Electronic Arts, EA Sports, Digital Bridges, Nokia","Simulation, Golf, Sports",Everyone
https://www.gamespot.com/games/the-suffering/,The Suffering,"Mar 9, 2004","PC, PlayStation 2, Xbox","The Suffering might be a little too straightforward in spots, but it does make for a solid action game.",Surreal Software,"Zoo Digital Publishing, Encore Software, Inc., Midway","Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/the-sims-bustin-out/,The Sims Bustin' Out,"Dec 15, 2003","Game Boy Advance, GameCube, N-Gage, PlayStation 2, Xbox","The Sims Bustin' Out makes good, solid improvements over its predecessor and stands on its own as a great version of The Sims for consoles.","Griptonite Games, Maxis, Ideaworks3D","EA Games, Electronic Arts",Simulation,Teen
https://www.gamespot.com/games/shadow-ops-red-mercury/,Shadow Ops: Red Mercury,"Jun 15, 2004","PC, Xbox","The campaign missions can be pretty intense at times, but the underlying action itself lacks the sort of visceral punch that shooters ought to have.",Zombie Studios,"Atari SA, Tommo","First-Person, Shooter, 3D, Action",Teen
https://www.gamespot.com/games/mario-vs-donkey-kong-2004/,Mario vs. Donkey Kong,"May 24, 2004",Game Boy Advance,"Both on its own and as a tribute to Mario's legacy, Mario vs. Donkey Kong does a great job.",Nintendo Software Technology,Nintendo,"Action, Platformer, 2D",Everyone
https://www.gamespot.com/games/soldiers-heroes-of-world-war-ii/,Soldiers: Heroes of World War II,"Jun 30, 2004",PC,"Soldiers: Heroes of World War II is a very good game that should appeal most to hardcore strategy fans, due to its intricate, challenging gameplay and great presentation.",Best Way,"Codemasters, Sold Out Software, Shall Luck Plus, Mastertronic","Real-Time, Strategy",Teen
https://www.gamespot.com/games/vietnam-ho-chi-minh-trail/,Vietnam: Ho Chi Minh Trail,February 2004,PC,"Ho Chi Minh Trails makes up for its total lack of depth with the visceral thrill of raw, senseless destruction.",e-Pie Entertainment & Technology,e-Pie Entertainment & Technology,"Shooter, Team-Based, 3D, Action, First-Person",Mature
https://www.gamespot.com/games/ct-special-forces-2-back-in-the-trenches/,CT Special Forces 2: Back in the Trenches,"Jun 29, 2004","Game Boy Advance, PlayStation",Play as one of four characters of a crack counter-terrorist commando unit and work to stop the terrorists before they threaten the democratic free world.,LSP,"LSP, Hip Games","Action, Platformer, 2D",Teen
https://www.gamespot.com/games/transformers-2004/,Transformers (2004),"May 11, 2004",PlayStation 2,"Transformers is an especially easy sell to diehard fans of the franchise, but it's equally recommendable to fans of action games in general, too.",Melbourne House,Atari SA,"Action, Shooter, Third-Person, 3D",Teen
https://www.gamespot.com/games/sonic-advance-3/,Sonic Advance 3,"Jun 7, 2004",Game Boy Advance,"Sonic Advance 3 is a great, fast-paced platform game, and the tag-team play mechanic really enhances the overall experience.",Dimps Corporation,"Sega, THQ","2D, Platformer, Action",Everyone
https://www.gamespot.com/games/van-helsing/,Van Helsing,"May 6, 2004","Game Boy Advance, Mobile, PlayStation 2, Xbox","Van Helsing, the game, can make for a pretty entertaining time if you don't go in expecting too much and just want a few hours of gothic-styled action.","Saffire, Lavastorm","VU Games, Sierra Entertainment, Superscape","3D, Action, Shooter, Third-Person",Teen
https://www.gamespot.com/games/mlb-slugfest-loaded/,MLB SlugFest: Loaded,"Jun 23, 2004","PlayStation 2, Xbox","If you're looking for a superfun, easy-to-understand baseball game this year, SlugFest: Loaded is definitely your best bet.",Point of View,Midway,"Team-Based, Arcade, Baseball, Sports",Teen
